name,parent,score
Node 18, , 
Outgroup,Node 18, 
Node 17,Node 18,0.8333333333333334
Node 15,Node 17,0.16666666666666666
Ulkenia visurgensis,Node 15, 
Node 14,Node 15,0.08333333333333333
Node 1,Node 14,0.3333333333333333
Schizochytrium minutum,Node 1, 
Schizochytrium aggregatum,Node 1, 
Node 13,Node 14,0.08333333333333333
Node 10,Node 13,0.08333333333333333
Node 9,Node 10,0.08333333333333333
Node 8,Node 9,0.08333333333333333
Labyrinthuloides haliotidis,Node 8, 
Node 7,Node 8,0.0
Node 5,Node 7,0.03333333333333333
Node 4,Node 5,0.08333333333333333
Node 3,Node 4,0.08333333333333333
Thraustochytrium striatum,Node 3, 
Node 2,Node 3,0.3333333333333333
Thraustochytrium pachydermum,Node 2, 
Thraustochytrium aggregatum,Node 2, 
Thraustochytrium aureum,Node 4, 
Thraustochytrium kinnei,Node 5, 
Node 6,Node 7,0.16666666666666666
Botryochytrium radiatum,Node 6, 
Ulkenia profunda,Node 6, 
Thraustochytrium motivum,Node 9, 
Diplophrys marina,Node 10, 
Node 12,Node 13,0.08333333333333333
Labyrinthuloides yorkensis,Node 12, 
Node 11,Node 12,0.03333333333333333
Aurantiochytrium limacinum,Node 11, 
Labyrinthuloides minuta,Node 11, 
Node 16,Node 17,0.8333333333333334
Aplanochytrium stocchinoi,Node 16, 
Aplanochytrium kerguelense,Node 16, 
Labyrinthula zosterae,Node 18, 
