name,parent,score
Node 1447, , 
Outgroup,Node 1447, 
Node 1446,Node 1447,0.10587550901687028
Node 1445,Node 1446,0.10587550901687028
Node 1444,Node 1445,0.10587550901687028
Node 1443,Node 1444,0.10587550901687028
Node 1442,Node 1443,0.10587550901687028
Node 1440,Node 1442,0.10587550901687028
Node 1439,Node 1440,0.10587550901687028
Node 1438,Node 1439,0.10587550901687028
Node 1437,Node 1438,0.10587550901687028
Node 1436,Node 1437,0.10587550901687028
Node 1435,Node 1436,0.10587550901687028
Node 1434,Node 1435,0.10587550901687028
Node 1433,Node 1434,0.10587550901687028
Node 1432,Node 1433,0.10587550901687028
Node 1431,Node 1432,0.10587550901687028
Node 1430,Node 1431,0.10587550901687028
Node 1429,Node 1430,0.10587550901687028
Node 1428,Node 1429,0.10587550901687028
Node 1427,Node 1428,0.10587550901687028
Node 1426,Node 1427,0.10587550901687028
Node 1425,Node 1426,0.10587550901687028
Node 1424,Node 1425,0.10587550901687028
Node 1423,Node 1424,0.10587550901687028
Node 1422,Node 1423,0.10587550901687028
Node 1421,Node 1422,0.10587550901687028
Node 1420,Node 1421,0.10587550901687028
Node 1419,Node 1420,0.09476439790575918
Node 1418,Node 1419,0.09476439790575918
Node 1417,Node 1418,0.09476439790575918
Node 1416,Node 1417,0.10587550901687028
Node 1415,Node 1416,0.10587550901687028
Node 1414,Node 1415,0.10587550901687028
Node 1412,Node 1414,0.09476439790575918
Node 1409,Node 1412,0.09476439790575918
Node 1408,Node 1409,0.09476439790575918
Node 1407,Node 1408,0.08567348881485007
Node 1406,Node 1407,0.07168747482883608
Node 1405,Node 1406,0.07168747482883608
Node 1404,Node 1405,0.05358792731752386
Node 1403,Node 1404,0.05358792731752386
Node 1399,Node 1403,0.044764397905759166
Node 1398,Node 1399,0.04238344552480678
Node 1396,Node 1398,0.03824265877532438
Node 1394,Node 1396,0.03476439790575916
Node 1393,Node 1394,0.03476439790575916
Node 1384,Node 1393,0.0318014349427962
Node 1353,Node 1384,0.028097731239092493
Node 1026,Node 1353,0.012946216087577343
Node 1021,Node 1026,0.012946216087577343
Node 1020,Node 1021,0.012621540762902018
Node 1019,Node 1020,0.012621540762902018
Node 1018,Node 1019,0.01230825755488197
Node 1005,Node 1018,0.01200577721610399
Node 792,Node 1005,0.0074226257538604285
Node 664,Node 792,0.00775141089277215
Node 663,Node 664,0.00775141089277215
Node 658,Node 663,0.007584910726271983
Node 657,Node 658,0.007584910726271983
Node 470,Node 657,0.004865408006769263
Node 467,Node 470,0.004968479538412224
Node 315,Node 467,0.006959519856978675
Node 314,Node 315,0.006959519856978675
Node 313,Node 314,0.006959519856978675
Node 311,Node 313,0.006812590676843499
Node 310,Node 311,0.006669159810521067
Node 158,Node 310,0.005517086077802173
Node 100,Node 158,0.005517086077802173
Node 98,Node 100,0.005402695778099588
Node 81,Node 98,0.0058755090168702735
Node 63,Node 81,0.005517086077802173
Node 59,Node 63,0.0058755090168702735
Node 58,Node 59,0.0058755090168702735
Node 55,Node 58,0.006000352961938937
Node 51,Node 55,0.006000352961938937
Node 49,Node 51,0.006000352961938937
Node 28,Node 49,0.006812590676843499
Node 27,Node 28,0.006669159810521067
Node 26,Node 27,0.006669159810521067
Node 23,Node 26,0.006392304882503348
Node 4,Node 23,0.006529103788112104
Kaernefeltia californica,Node 4, 
Node 3,Node 4,0.006529103788112104
Node 2,Node 3,0.006529103788112104
Tuckermanella weberi,Node 2, 
Node 1,Node 2,0.006529103788112104
Tuckermanella coralligera,Node 1, 
Tuckermanella fendleri,Node 1, 
Kaernefeltia merrillii,Node 3, 
Node 22,Node 23,0.006392304882503348
Node 20,Node 22,0.006000352961938937
Node 15,Node 20,0.006392304882503348
