name,parent,score
Node 550, , 
Outgroup,Node 550, 
Node 549,Node 550,0.24662162162162163
Node 548,Node 549,0.24662162162162163
Node 547,Node 548,0.16328828828828829
Node 545,Node 547,0.07354469854469854
Node 544,Node 545,0.046621621621621624
Node 509,Node 544,0.012750653879686139
Node 499,Node 509,0.012246621621621621
Node 498,Node 499,0.012006237006237005
Node 497,Node 498,0.01154699475594998
Node 484,Node 497,0.011773136773136773
Node 483,Node 484,0.010706128663875143
Node 482,Node 483,0.010510510510510511
Node 481,Node 482,0.010510510510510511
Node 480,Node 481,0.010510510510510511
Node 479,Node 480,0.010320251758607924
Node 478,Node 479,0.010320251758607924
Node 477,Node 478,0.010510510510510511
Node 476,Node 477,0.010510510510510511
Node 467,Node 476,0.009954954954954956
Node 461,Node 467,0.009954954954954956
Node 460,Node 461,0.009954954954954956
Node 459,Node 460,0.009954954954954956
Node 458,Node 459,0.007985257985257985
Node 428,Node 458,0.00866981439270596
Node 427,Node 428,0.008816743572841134
Node 426,Node 427,0.008816743572841134
Node 425,Node 426,0.008816743572841134
Node 396,Node 425,0.007038288288288288
Node 321,Node 396,0.0076106326106326104
Node 320,Node 321,0.0076106326106326104
Node 319,Node 320,0.0076106326106326104
Node 318,Node 319,0.0076106326106326104
Node 317,Node 318,0.0076106326106326104
Node 316,Node 317,0.0076106326106326104
Node 314,Node 316,0.0076106326106326104
Node 313,Node 314,0.007374309793664632
Node 169,Node 313,0.005393551446183025
Node 154,Node 169,0.006237006237006237
Node 153,Node 154,0.006621621621621622
Node 140,Node 153,0.00866981439270596
Node 138,Node 140,0.008386327503974562
Node 112,Node 138,0.008816743572841134
Node 90,Node 112,0.007374309793664632
Node 75,Node 90,0.007259919493962048
Node 74,Node 75,0.007259919493962048
Node 73,Node 74,0.005967416014144986
Node 72,Node 73,0.005795933548227126
Node 67,Node 72,0.004818342933097032
Node 65,Node 67,0.004818342933097032
Node 64,Node 65,0.0044341216216216214
Node 63,Node 64,0.0047517029224346296
Node 62,Node 63,0.004197379197379197
Node 59,Node 62,0.004197379197379197
Node 58,Node 59,0.004313929313929313
Node 57,Node 58,0.004313929313929313
Node 54,Node 57,0.0044341216216216214
Node 33,Node 54,0.005712530712530713
Node 26,Node 33,0.004954954954954955
Node 25,Node 26,0.005317273795534665
Node 24,Node 25,0.005393551446183025
Node 21,Node 24,0.0051686301686301684
Node 20,Node 21,0.004954954954954955
Node 19,Node 20,0.004818342933097032
Node 18,Node 19,0.004818342933097032
Node 17,Node 18,0.005096197892808062
Node 16,Node 17,0.00555019305019305
Node 15,Node 16,0.005242311276794035
Node 14,Node 15,0.004886084431538977
Node 3,Node 14,0.004954954954954955
Node 1,Node 3,0.005880880880880881
Erysiphe howeana,Node 1, 
Erysiphe pisi,Node 1, 
