name,parent,score
Node 269, , 
Outgroup,Node 269, 
Node 268,Node 269,0.25
Node 267,Node 268,0.47560975609756095
Node 260,Node 267,0.11846689895470382
Node 256,Node 260,0.08672086720867209
Node 255,Node 256,0.08672086720867209
Node 6,Node 255,0.02106430155210643
Node 1,Node 6,0.02106430155210643
Niphargus stygius,Node 1, 
Niphargus krameri,Node 1, 
Node 5,Node 6,0.02106430155210643
Node 4,Node 5,0.02106430155210643
Node 2,Node 4,0.02106430155210643
Niphargus stenopus,Node 2, 
Niphargus longiflagellum,Node 2, 
Node 3,Node 4,0.02106430155210643
Niphargus factor,Node 3, 
Niphargus orcinus,Node 3, 
Niphargus spoeckeri,Node 5, 
Node 254,Node 255,0.08672086720867209
Node 253,Node 254,0.08672086720867209
Node 252,Node 253,0.08672086720867209
Node 251,Node 252,0.08672086720867209
Node 236,Node 251,0.06651884700665188
Node 234,Node 236,0.07560975609756097
Node 231,Node 234,0.07560975609756097
Node 230,Node 231,0.06651884700665188
Node 229,Node 230,0.06651884700665188
Node 228,Node 229,0.06651884700665188
Node 227,Node 228,0.06651884700665188
Node 225,Node 227,0.06651884700665188
Node 216,Node 225,0.058943089430894303
Node 215,Node 216,0.058943089430894303
Node 214,Node 215,0.058943089430894303
Node 213,Node 214,0.058943089430894303
Node 212,Node 213,0.058943089430894303
Node 211,Node 212,0.058943089430894303
Node 210,Node 211,0.058943089430894303
Node 209,Node 210,0.058943089430894303
Node 208,Node 209,0.058943089430894303
Node 206,Node 208,0.052532833020637895
Node 205,Node 206,0.052532833020637895
Node 204,Node 205,0.052532833020637895
Node 201,Node 204,0.04227642276422764
Node 200,Node 201,0.04227642276422764
Node 198,Node 200,0.04227642276422764
Node 197,Node 198,0.04227642276422764
Node 190,Node 197,0.04227642276422764
Node 189,Node 190,0.04227642276422764
Node 188,Node 189,0.04227642276422764
Node 185,Node 188,0.04227642276422764
Node 184,Node 185,0.04227642276422764
Node 183,Node 184,0.038109756097560975
Node 182,Node 183,0.038109756097560975
Node 172,Node 182,0.038109756097560975
Node 146,Node 172,0.038109756097560975
Node 145,Node 146,0.038109756097560975
Node 144,Node 145,0.038109756097560975
Node 143,Node 144,0.038109756097560975
Node 142,Node 143,0.038109756097560975
Node 141,Node 142,0.038109756097560975
Node 140,Node 141,0.038109756097560975
Node 139,Node 140,0.047038327526132406
Node 133,Node 139,0.047038327526132406
Node 132,Node 133,0.047038327526132406
Node 20,Node 132,0.025609756097560978
Node 17,Node 20,0.023228803716608595
Node 11,Node 17,0.023228803716608595
Node 10,Node 11,0.023228803716608595
Agononida procera,Node 10, 
Node 9,Node 10,0.023228803716608595
Node 8,Node 9,0.023228803716608595
Cervimunida johni,Node 8, 
Node 7,Node 8,0.023228803716608595
Munida quadrispina,Node 7, 
Pleuroncodes monodon,Node 7, 
Munida subrugosa,Node 9, 
Alainius crosnieri,Node 11, 
Node 16,Node 17,0.023228803716608595
Node 15,Node 16,0.025609756097560978
Porcellana platycheles,Node 15, 
Node 14,Node 15,0.025609756097560978
Node 12,Node 14,0.025609756097560978
Pachycheles rudis,Node 12, 
Pachycheles haigae,Node 12, 
Node 13,Node 14,0.025609756097560978
Petrolisthes armatus,Node 13, 
Petrolisthes laevigatus,Node 13, 
Allogalathea elegans,Node 16, 
Node 19,Node 20,0.023228803716608595
Node 18,Node 19,0.025609756097560978
Munidopsis bairdii,Node 18, 
Shinkaia crosnieri,Node 18, 
Leiogalathea laevirostris,Node 19, 
Node 131,Node 132,0.047038327526132406
Node 128,Node 131,0.047038327526132406
Node 116,Node 128,0.038109756097560975
Node 110,Node 116,0.04227642276422764
Node 62,Node 110,0.019088016967126194
Node 61,Node 62,0.019088016967126194
Node 60,Node 61,0.019088016967126194
Node 59,Node 60,0.019088016967126194
Node 58,Node 59,0.02106430155210643
Node 57,Node 58,0.02106430155210643
Node 56,Node 57,0.02106430155210643
Node 52,Node 56,0.014071294559099437
Node 51,Node 52,0.014071294559099437
Node 48,Node 51,0.02106430155210643
Node 42,Node 48,0.01132404181184669
Node 40,Node 42,0.012646793134598011
Node 39,Node 40,0.017276422764227643
Node 36,Node 39,0.017276422764227643
Node 35,Node 36,0.017276422764227643
Pachygrapsus marmoratus,Node 35, 
Node 34,Node 35,0.017276422764227643
Node 33,Node 34,0.017276422764227643
Node 32,Node 33,0.019088016967126194
Node 30,Node 32,0.019088016967126194
Node 24,Node 30,0.015609756097560976
Scylla paramamosain,Node 24, 
Node 23,Node 24,0.015609756097560976
Portunus trituberculatus,Node 23, 
Node 22,Node 23,0.015609756097560976
Node 21,Node 22,0.019088016967126194
Portunus pelagicus,Node 21, 
Eriocheir sinensis,Node 21, 
Callinectes sapidus,Node 22, 
Node 29,Node 30,0.015609756097560976
Node 28,Node 29,0.014071294559099437
Node 27,Node 28,0.015609756097560976
Maja squinado,Node 27, 
Node 26,Node 27,0.015609756097560976
Node 25,Node 26,0.015609756097560976
Carcinus maenas,Node 25, 
Necora puber,Node 25, 
Charybdis japonica,Node 26, 
Scylla serrata,Node 28, 
Metacarcinus magister,Node 29, 
Node 31,Node 32,0.025609756097560978
Cyanagraea praedator,Node 31, 
Segonzacia mesatlantica,Node 31, 
Cancer pagurus,Node 33, 
Bythograea thermydron,Node 34, 
Dromia personata,Node 36, 
Node 38,Node 39,0.015609756097560976
Node 37,Node 38,0.015609756097560976
Ilyoplax pusilla,Node 37, 
Gecarcoidea natalis,Node 37, 
Uca pugilator,Node 38, 
Penaeus semisulcatus,Node 40, 
Petrolisthes cinctipes,Node 40, 
Node 41,Node 42,0.015609756097560976
Astacus astacus,Node 41, 
Pacifastacus leniusculus,Node 41, 
Node 47,Node 48,0.017276422764227643
Node 45,Node 47,0.025609756097560978
Node 44,Node 45,0.019088016967126194
Aegla uruguayana,Node 44, 
Node 43,Node 44,0.019088016967126194
Aegla neuquensis,Node 43, 
Aegla alacalufi,Node 43, 
Aegla violacea,Node 45, 
Node 46,Node 47,0.01132404181184669
Cambaroides japonicus,Node 46, 
Homarus americanus,Node 46, 
Node 50,Node 51,0.012646793134598011
Node 49,Node 50,0.014071294559099437
Litopenaeus stylirostris,Node 49, 
Marsupenaeus japonicus,Node 49, 
Penaeus monodon,Node 50, 
Macrobrachium nipponense,Node 52, 
Node 55,Node 56,0.014071294559099437
Node 54,Node 55,0.015609756097560976
Node 53,Node 54,0.014071294559099437
Paratya australiensis,Node 53, 
Litopenaeus vannamei,Node 53, 
Litopenaeus setiferus,Node 54, 
Fenneropenaeus chinensis,Node 55, 
Panulirus argus,Node 57, 
Palaemon pugio,Node 58, 
Lomis hirta,Node 59, 
Macrobrachium rosenbergii,Node 60, 
Euphausia superba,Node 61, 
Eurydice pulchra,Node 62, 
Node 109,Node 110,0.031165311653116527
Paralithodes camtschaticus,Node 109, 
Node 108,Node 109,0.017276422764227643
Node 106,Node 108,0.025609756097560978
Node 105,Node 106,0.031165311653116527
Node 104,Node 105,0.031165311653116527
Node 103,Node 104,0.031165311653116527
Node 102,Node 103,0.015609756097560976
Node 99,Node 102,0.014071294559099437
Node 94,Node 99,0.014071294559099437
Node 93,Node 94,0.014071294559099437
Node 91,Node 93,0.014071294559099437
Node 90,Node 91,0.014071294559099437
Node 63,Node 90,0.019088016967126194
Gammarus lichuanensis,Node 63, 
Gammarus qiani,Node 63, 
Node 89,Node 90,0.014071294559099437
Node 70,Node 89,0.019088016967126194
Node 68,Node 70,0.019088016967126194
Node 67,Node 68,0.019088016967126194
Node 66,Node 67,0.019088016967126194
Node 64,Node 66,0.019088016967126194
Gammarus oceanicus,Node 64, 
Gammarus duebeni,Node 64, 
Node 65,Node 66,0.03443328550932569
Gammarus annulatus,Node 65, 
Gammarus mucronatus,Node 65, 
Gammarus balcanicus,Node 67, 
Gammarus takesensis,Node 68, 
Node 69,Node 70,0.023228803716608595
Gammarus lacustris,Node 69, 
Gammarus montanus,Node 69, 
Node 88,Node 89,0.014071294559099437
Node 84,Node 88,0.014071294559099437
Node 71,Node 84,0.017276422764227643
Gammarus pulex,Node 71, 
Gammarus fossarum,Node 71, 
Node 83,Node 84,0.019088016967126194
Node 79,Node 83,0.019088016967126194
Node 78,Node 79,0.019088016967126194
Node 77,Node 78,0.019088016967126194
Node 76,Node 77,0.019088016967126194
Node 72,Node 76,0.019088016967126194
Gammarus salinus,Node 72, 
Gammarus troglophilus,Node 72, 
Node 75,Node 76,0.019088016967126194
Node 73,Node 75,0.019088016967126194
Gammarus shenmuensis,Node 73, 
Gammarus elevatus,Node 73, 
Node 74,Node 75,0.019088016967126194
Gammarus shanxiensis,Node 74, 
Gammarus brevipodus,Node 74, 
Gammarus pseudolimnaeus,Node 77, 
Gammarus bousfieldi,Node 78, 
Gammarus minus,Node 79, 
Node 82,Node 83,0.019088016967126194
Node 80,Node 82,0.03443328550932569
Gammarus crinicornis,Node 80, 
Gammarus locusta,Node 80, 
Node 81,Node 82,0.04227642276422764
Gammarus tigrinus,Node 81, 
Gammarus fasciatus,Node 81, 
Node 87,Node 88,0.019088016967126194
Gammarus curvativus,Node 87, 
Node 86,Node 87,0.03443328550932569
Node 85,Node 86,0.04227642276422764
Gammarus glabratus,Node 85, 
Gammarus emeiensis,Node 85, 
Gammarus sinuolatus,Node 86, 
Gammarus martensi,Node 91, 
Node 92,Node 93,0.028241335044929396
Gammarus nipponensis,Node 92, 
Gammarus koreanus,Node 92, 
Gammarus nekkensis,Node 94, 
Node 98,Node 99,0.019088016967126194
Node 97,Node 98,0.019088016967126194
Gammarus riparius,Node 97, 
Node 96,Node 97,0.019088016967126194
Node 95,Node 96,0.03443328550932569
Gammarus craspedotrichus,Node 95, 
Gammarus accretus,Node 95, 
Gammarus translucidus,Node 96, 
Gammarus sichuanensis,Node 98, 
Node 101,Node 102,0.019088016967126194
Node 100,Node 101,0.019088016967126194
Gammarus decorosus,Node 100, 
Gammarus pexus,Node 100, 
Gammarus stalagmiticus,Node 101, 
Gammarus electrus,Node 103, 
Sinogammarus chuanhui,Node 104, 
Dikerogammarus villosus,Node 105, 
Jesogammarus hebeiensis,Node 106, 
Node 107,Node 108,0.023228803716608595
Crangonyx pseudogracilis,Node 107, 
Crangonyx forbesi,Node 107, 
Platorchestia japonica,Node 109, 
Node 115,Node 116,0.023228803716608595
Node 114,Node 115,0.023228803716608595
Node 113,Node 114,0.023228803716608595
Node 112,Node 113,0.025609756097560978
Node 111,Node 112,0.025609756097560978
Uroptychus nitidus,Node 111, 
Uroptychus parvulus,Node 111, 
Chirostylus novaecaledoniae,Node 112, 
Eumunida sternomaculata,Node 113, 
Kiwa hirsuta,Node 114, 
Pseudomunida fragilis,Node 115, 
Node 127,Node 128,0.02106430155210643
Node 125,Node 127,0.023228803716608595
Node 120,Node 125,0.02106430155210643
Node 119,Node 120,0.023228803716608595
Node 118,Node 119,0.023228803716608595
Node 117,Node 118,0.025609756097560978
Lithodes santolla,Node 117, 
Oedignathus inermis,Node 117, 
Discorsopagurus schmitti,Node 118, 
Bythiopagurus macrocolus,Node 119, 
Paguristes turgidus,Node 120, 
Node 124,Node 125,0.023228803716608595
Node 121,Node 124,0.025609756097560978
Coenobita compressus,Node 121, 
Birgus latro,Node 121, 
Node 123,Node 124,0.025609756097560978
Node 122,Node 123,0.023228803716608595
Calcinus obscurus,Node 122, 
Isocheles pilosus,Node 122, 
Clibanarius albidigitus,Node 123, 
Node 126,Node 127,0.025609756097560978
Parapagurus latimanus,Node 126, 
Sympagurus dimorphus,Node 126, 
Node 130,Node 131,0.025609756097560978
Node 129,Node 130,0.025609756097560978
Lepidopa californica,Node 129, 
Emerita emeritus,Node 129, 
Blepharipoda occidentalis,Node 130, 
Oratosquilla oratoria,Node 133, 
Node 138,Node 139,0.02106430155210643
Node 135,Node 138,0.02106430155210643
Node 134,Node 135,0.02106430155210643
Moloha majora,Node 134, 
Paromola japonica,Node 134, 
Homolodromia kai,Node 135, 
Node 137,Node 138,0.02106430155210643
Node 136,Node 137,0.02106430155210643
Metadynomene tanensis,Node 136, 
Lauridromia dehaani,Node 136, 
Hypoconcha spinosissima,Node 137, 
Halocaridina rubra,Node 140, 
Procambarus clarkii,Node 141, 
Travancoriana schirnerae,Node 142, 
Parapenaeus lanceolatus,Node 143, 
Pagurus longicarpus,Node 144, 
Parapenaeopsis cornuta,Node 145, 
Metapenaeopsis palmensis,Node 146, 
Node 171,Node 172,0.019088016967126194
Node 168,Node 171,0.019088016967126194
Node 163,Node 168,0.019088016967126194
Node 161,Node 163,0.019088016967126194
Node 149,Node 161,0.019088016967126194
Node 148,Node 149,0.019088016967126194
Node 147,Node 148,0.019088016967126194
Sundathelphusa hades,Node 147, 
Currothelphusa asserpes,Node 147, 
Sundathelphusa boex,Node 148, 
Sundathelphusa tenebrosa,Node 149, 
Node 160,Node 161,0.019088016967126194
Node 158,Node 160,0.019088016967126194
Node 157,Node 158,0.019088016967126194
Node 154,Node 157,0.019088016967126194
Node 151,Node 154,0.019088016967126194
Node 150,Node 151,0.019088016967126194
Perithelphusa lehi,Node 150, 
Bakousa sarawakensis,Node 150, 
Balssiathelphusa cursor,Node 151, 
Node 153,Node 154,0.019088016967126194
Node 152,Node 153,0.019088016967126194
Sundathelphusa minahassae,Node 152, 
Irmengardia johnsoni,Node 152, 
Austrothelphusa transversa,Node 153, 
Node 156,Node 157,0.019088016967126194
Thelphusula sabana,Node 156, 
Node 155,Node 156,0.019088016967126194
Thelphusula tawauensis,Node 155, 
Thelphusula hulu,Node 155, 
Parathelphusa maculata,Node 158, 
Node 159,Node 160,0.019088016967126194
Sayamia sexpunctata,Node 159, 
Salangathelphusa brevicarinata,Node 159, 
Node 162,Node 163,0.019088016967126194
Ceylonthelphusa kandambyi,Node 162, 
Oziotelphusa ceylonensis,Node 162, 
Node 167,Node 168,0.019088016967126194
Node 166,Node 167,0.019088016967126194
Node 165,Node 166,0.019088016967126194
Node 164,Node 165,0.019088016967126194
Barytelphusa cunicularis,Node 164, 
Sartoriana spinigera,Node 164, 
Gecarcinucus jacquemontii,Node 165, 
Gubernatoriana gubernatoris,Node 166, 
Cylindrotelphusa steniops,Node 167, 
Node 170,Node 171,0.019088016967126194
Node 169,Node 170,0.019088016967126194
Phricotelphusa hockpingi,Node 169, 
Phricotelphusa amnicola,Node 169, 
Phricotelphusa sirindhorn,Node 170, 
Node 181,Node 182,0.019088016967126194
Node 178,Node 181,0.019088016967126194
Node 175,Node 178,0.019088016967126194
Node 173,Node 175,0.019088016967126194
Deckenia mitis,Node 173, 
Seychellum alluaudi,Node 173, 
Node 174,Node 175,0.019088016967126194
Madagapotamon humberti,Node 174, 
Hydrothelphusa madagascariensis,Node 174, 
Node 177,Node 178,0.019088016967126194
Potamonautes perlatus,Node 177, 
Node 176,Node 177,0.019088016967126194
Potamonautes niloticus,Node 176, 
Platythelphusa armata,Node 176, 
Node 180,Node 181,0.019088016967126194
Node 179,Node 180,0.019088016967126194
Potamon fluviatile,Node 179, 
Potamon persicum,Node 179, 
Johora singaporensis,Node 180, 
Kempina mikado,Node 183, 
Nephrops norvegicus,Node 184, 
Ligia perkinsi,Node 185, 
Node 187,Node 188,0.019088016967126194
Node 186,Node 187,0.019088016967126194
Ligia occidentalis,Node 186, 
Ligia exotica,Node 186, 
Ligia vitiensis,Node 187, 
Antecaridina lauensis,Node 189, 
Proasellus coxalis,Node 190, 
Node 196,Node 197,0.02106430155210643
Node 193,Node 196,0.02106430155210643
Node 192,Node 193,0.02106430155210643
Node 191,Node 192,0.02106430155210643
