name,parent,score
Node 10, , 
Outgroup,Node 10, 
Node 9,Node 10,0.05
Node 6,Node 9,0.05
Malassezia slooffiae,Node 6, 
Node 5,Node 6,0.05
Node 4,Node 5,0.05
Node 3,Node 4,0.05
Malassezia sympodialis,Node 3, 
Node 2,Node 3,0.05
Malassezia nana,Node 2, 
Node 1,Node 2,0.0
Malassezia restricta,Node 1, 
Malassezia dermatis,Node 1, 
Malassezia pachydermatis,Node 4, 
Malassezia globosa,Node 5, 
Node 8,Node 9,0.05
Malassezia japonica,Node 8, 
Node 7,Node 8,0.05
Malassezia furfur,Node 7, 
Malassezia obtusa,Node 7, 
Malassezia yamatoensis,Node 10, 
