name,parent,score
Node 55, , 
Outgroup,Node 55, 
Node 53,Node 55,0.25
Node 52,Node 53,0.2833333333333333
Node 48,Node 52,0.45
Node 47,Node 48,0.95
Node 40,Node 47,0.45
Node 22,Node 40,0.2833333333333333
Node 20,Node 22,0.2833333333333333
Node 12,Node 20,0.15
Node 5,Node 12,0.45
Node 4,Node 5,0.45
Node 3,Node 4,0.45
Ricciocarpos natans,Node 3, 
Node 2,Node 3,0.2
Node 1,Node 2,0.2
Riccia ciliifera,Node 1, 
Riccia fluitans,Node 1, 
Riccia huebeneriana,Node 2, 
Oxymitra incrassata,Node 4, 
Oxymitra cristata,Node 5, 
Node 11,Node 12,0.15
Node 9,Node 11,0.2
Monosolenium tenerum,Node 9, 
Node 8,Node 9,0.2
Node 7,Node 8,0.15
Conocephalum japonicum,Node 7, 
Node 6,Node 7,0.11666666666666667
Conocephalum conicum,Node 6, 
Conocephalum salebrosum,Node 6, 
Monoclea gottschei,Node 8, 
Node 10,Node 11,0.2833333333333333
Wiesnerella denudata,Node 10, 
Targionia hypophylla,Node 10, 
Node 19,Node 20,0.2
Node 15,Node 19,0.45
Node 14,Node 15,0.45
Node 13,Node 14,0.45
Exormotheca pustulosa,Node 13, 
Corsinia coriandrina,Node 13, 
Cyathodium foetidissimum,Node 14, 
Cyathodium spruceanum,Node 15, 
Node 18,Node 19,0.45
Node 17,Node 18,0.15
Node 16,Node 17,0.45
Athalamia pinguis,Node 16, 
Sauteria alpina,Node 16, 
Athalamia hyalina,Node 17, 
Peltolepis quadrata,Node 18, 
Node 21,Node 22,0.11666666666666667
Cyathodium tuberosum,Node 21, 
Dumortiera hirsuta,Node 21, 
Node 39,Node 40,0.2833333333333333
Node 36,Node 39,0.2833333333333333
Node 35,Node 36,0.2833333333333333
Node 28,Node 35,0.2833333333333333
Node 27,Node 28,0.2
Node 24,Node 27,0.2
Node 23,Node 24,0.2833333333333333
Mannia californica,Node 23, 
Mannia sibirica,Node 23, 
Mannia fragrans,Node 24, 
Node 26,Node 27,0.25
Node 25,Node 26,0.25
Mannia gracilis,Node 25, 
Mannia triandra,Node 25, 
Mannia pilosa,Node 26, 
Mannia androgyna,Node 28, 
Node 34,Node 35,0.15
Node 30,Node 34,0.2833333333333333
Node 29,Node 30,0.45
Plagiochasma wrightii,Node 29, 
Plagiochasma rupestre,Node 29, 
Reboulia hemisphaerica,Node 30, 
Node 33,Node 34,0.2
Asterella saccata,Node 33, 
Node 32,Node 33,0.2
Asterella wallichiana,Node 32, 
Node 31,Node 32,0.2833333333333333
Asterella africana,Node 31, 
Asterella tenella,Node 31, 
Asterella californica,Node 36, 
Node 38,Node 39,0.2
Cryptomitrium tenerum,Node 38, 
Node 37,Node 38,0.2
Cryptomitrium himalayense,Node 37, 
Asterella grollei,Node 37, 
Node 46,Node 47,0.2833333333333333
Node 42,Node 46,0.016666666666666666
Node 41,Node 42,0.0125
Marchantia polymorpha,Node 41, 
Marchantia emarginata,Node 41, 
Marchantia paleacea,Node 42, 
Node 45,Node 46,0.016666666666666666
Node 43,Node 45,0.95
Preissia quadrata,Node 43, 
Bucegia romanica,Node 43, 
Node 44,Node 45,0.0125
Marchantia inflexa,Node 44, 
Marchantia chenopoda,Node 44, 
Lunularia cruciata,Node 48, 
Node 51,Node 52,0.45
Node 50,Node 51,0.2
Node 49,Node 50,0.2833333333333333
Sphaerocarpos texanus,Node 49, 
Sphaerocarpos michelii,Node 49, 
Geothallus tuberosus,Node 50, 
Riella helicophylla,Node 51, 
Neohodgsonia mirabilis,Node 53, 
Node 54,Node 55,0.45
Blasia pusilla,Node 54, 
Cavicularia densa,Node 54, 
