name,parent,score
Node 42, , 
Outgroup,Node 42, 
Node 41,Node 42,0.25
Node 40,Node 41,0.9333333333333333
Node 39,Node 40,0.25
Node 36,Node 39,0.43333333333333335
Node 35,Node 36,0.43333333333333335
Node 33,Node 35,0.26666666666666666
Node 32,Node 33,0.26666666666666666
Node 31,Node 32,0.26666666666666666
Node 30,Node 31,0.26666666666666666
Node 29,Node 30,0.26666666666666666
Node 28,Node 29,0.26666666666666666
Node 26,Node 28,0.26666666666666666
Node 25,Node 26,0.26666666666666666
Node 13,Node 25,0.26666666666666666
Node 11,Node 13,0.26666666666666666
Pollicipes polymerus,Node 11, 
Node 10,Node 11,0.26666666666666666
Pollicipes elegans,Node 10, 
Node 9,Node 10,0.26666666666666666
Node 6,Node 9,0.18333333333333332
Calanus finmarchicus,Node 6, 
Node 5,Node 6,0.26666666666666666
Node 4,Node 5,0.1
Node 1,Node 4,0.1
Lepeophtheirus salmonis,Node 1, 
Caligus rogercresseyi,Node 1, 
Node 3,Node 4,0.26666666666666666
Node 2,Node 3,0.26666666666666666
Acanthocyclops vernalis,Node 2, 
Mesocyclops edax,Node 2, 
Lernaea cyprinacea,Node 3, 
Tigriopus californicus,Node 5, 
Node 8,Node 9,0.18333333333333332
Node 7,Node 8,0.26666666666666666
Caligus elongatus,Node 7, 
Chondracanthus lophii,Node 7, 
Pollicipes pollicipes,Node 8, 
Node 12,Node 13,0.43333333333333335
Calantica spinosa,Node 12, 
Smilium peronii,Node 12, 
Node 24,Node 25,0.43333333333333335
Node 20,Node 24,0.43333333333333335
Node 19,Node 20,0.43333333333333335
Node 17,Node 19,0.43333333333333335
Node 14,Node 17,0.43333333333333335
Arcoscalpellum africanum,Node 14, 
Litoscalpellum discoveryi,Node 14, 
Node 16,Node 17,0.43333333333333335
Node 15,Node 16,0.43333333333333335
Scalpellum scalpellum,Node 15, 
Litoscalpellum regina,Node 15, 
Trianguloscalpellum regium,Node 16, 
Node 18,Node 19,0.43333333333333335
Ashinkailepas seepiophila,Node 18, 
Neoverruca brachylepadoformis,Node 18, 
Oxynaspis celata,Node 20, 
Node 23,Node 24,0.43333333333333335
Node 22,Node 23,0.43333333333333335
Node 21,Node 22,0.43333333333333335
Tetraclitella divisa,Node 21, 
Tetraclita rufotincta,Node 21, 
Chelonibia patula,Node 22, 
Verruca stroemia,Node 23, 
Capitulum mitella,Node 26, 
Node 27,Node 28,0.43333333333333335
Ibla quadrivalvis,Node 27, 
Ibla cumingi,Node 27, 
Calanus pacificus,Node 29, 
Derocheilocaris remanei,Node 30, 
Leptodiaptomus siciloides,Node 31, 
Lepas anserifera,Node 32, 
Berndtia purpurea,Node 33, 
Node 34,Node 35,0.18333333333333332
Eurytemora affinis,Node 34, 
Calanus sinicus,Node 34, 
Semibalanus balanoides,Node 36, 
Node 38,Node 39,0.13333333333333333
Node 37,Node 38,0.26666666666666666
Sacculina carcini,Node 37, 
Lepas anatifera,Node 37, 
Labidocera aestiva,Node 38, 
Calanus helgolandicus,Node 40, 
Paracalanus aculeatus,Node 41, 
Paraheterorhabdus compactus,Node 42, 
