name,parent,score
Node 21, , 
Outgroup,Node 21, 
Node 19,Node 21,0.8571428571428571
Node 18,Node 19,0.35714285714285715
Node 13,Node 18,0.35714285714285715
Node 9,Node 13,0.19047619047619047
Node 5,Node 9,0.19047619047619047
Node 4,Node 5,0.8571428571428571
Node 3,Node 4,0.35714285714285715
Node 2,Node 3,0.05714285714285715
Node 1,Node 2,0.10714285714285714
Mediopyxis helysia,Node 1, 
Helicotheca tamesis,Node 1, 
Bellerochea malleus,Node 2, 
Lithodesmium undulatum,Node 3, 
Ditylum brightwellii,Node 4, 
Lampriscus kittonii,Node 5, 
Node 8,Node 9,0.10714285714285714
Node 7,Node 8,0.8571428571428571
Node 6,Node 7,0.8571428571428571
Pleurosira laevis,Node 6, 
Odontella aurita,Node 6, 
Odontella longicruris,Node 7, 
Odontella sinensis,Node 8, 
Node 12,Node 13,0.8571428571428571
Node 10,Node 12,0.8571428571428571
Arcocellulus mammifer,Node 10, 
Minutocellus polymorphus,Node 10, 
Node 11,Node 12,0.8571428571428571
Extubocellulus cribriger,Node 11, 
Leyanella arenaria,Node 11, 
Node 17,Node 18,0.8571428571428571
Node 16,Node 17,0.10714285714285714
Node 15,Node 16,0.8571428571428571
Node 14,Node 15,0.10714285714285714
Cymatosira belgica,Node 14, 
Extubocellulus spinifer,Node 14, 
Papiliocellulus elegans,Node 15, 
Biddulphiopsis titiana,Node 16, 
Toxarium undulatum,Node 17, 
Talaroneis posidoniae,Node 19, 
Node 20,Node 21,0.8571428571428571
Eucampia zodiacus,Node 20, 
Eucampia antarctica,Node 20, 
