name,parent,score
Node 12, , 
Outgroup,Node 12, 
Node 10,Node 12,0.9090909090909091
Node 9,Node 10,0.9090909090909091
Node 8,Node 9,0.9090909090909091
Node 5,Node 8,0.9090909090909091
Node 1,Node 5,0.4090909090909091
Methanosaeta thermophila,Node 1, 
Methanosaeta harundinacea,Node 1, 
Node 4,Node 5,0.9090909090909091
Node 3,Node 4,0.9090909090909091
Node 2,Node 3,0.4090909090909091
Methanosarcina acetivorans,Node 2, 
Methanosarcina mazei,Node 2, 
Methanosarcina barkeri,Node 3, 
Methanococcoides burtonii,Node 4, 
Node 7,Node 8,0.9090909090909091
Methanoculleus marisnigri,Node 7, 
Node 6,Node 7,0.4090909090909091
Methanospirillum hungatei,Node 6, 
Methanoregula boonei,Node 6, 
Methanohalophilus mahii,Node 9, 
Methanolacinia petrolearia,Node 10, 
Node 11,Node 12,0.9090909090909091
Methanosaeta concilii,Node 11, 
Methanolobus oregonensis,Node 11, 
