name,parent,score
Node 58, , 
Outgroup,Node 58, 
Node 57,Node 58,0.13218390804597702
Node 56,Node 57,0.13218390804597702
Node 50,Node 56,0.05642633228840126
Node 47,Node 50,0.04244031830238727
Node 45,Node 47,0.04885057471264368
Node 41,Node 45,0.04885057471264368
Node 39,Node 41,0.05642633228840126
Node 38,Node 39,0.05642633228840126
Node 36,Node 38,0.024340770791075054
Node 34,Node 36,0.0210727969348659
Node 26,Node 34,0.024340770791075054
Node 15,Node 26,0.0210727969348659
Node 2,Node 15,0.07662835249042146
Microbotryum kuehneanum,Node 2, 
Node 1,Node 2,0.13218390804597702
Microbotryum shastense,Node 1, 
Microbotryum vinosum,Node 1, 
Node 14,Node 15,0.028017241379310345
Node 13,Node 14,0.028017241379310345
Node 11,Node 13,0.03218390804597701
Node 10,Node 11,0.03218390804597701
Node 9,Node 10,0.024340770791075054
Node 6,Node 9,0.03218390804597701
Node 5,Node 6,0.028017241379310345
Node 3,Node 5,0.09051724137931035
Microbotryum lychnidis dioicae,Node 3, 
Microbotryum violaceoirregulare,Node 3, 
Node 4,Node 5,0.05642633228840126
Microbotryum silenes inflatae,Node 4, 
Microbotryum violaceum,Node 4, 
Microbotryum majus,Node 6, 
Node 8,Node 9,0.06551724137931034
Node 7,Node 8,0.1083743842364532
Microbotryum dianthorum,Node 7, 
Microbotryum saponariae,Node 7, 
Microbotryum stellariae,Node 8, 
Microbotryum violaceoverrucosum,Node 10, 
Microbotryum anomalum,Node 11, 
Node 12,Node 13,0.05642633228840126
Microbotryum scabiosae,Node 12, 
Microbotryum holostei,Node 12, 
Microbotryum stygium,Node 14, 
Node 25,Node 26,0.03694581280788177
Microbotryum parlatorei,Node 25, 
Node 24,Node 25,0.05642633228840126
Node 21,Node 24,0.04244031830238727
Node 17,Node 21,0.05642633228840126
Node 16,Node 17,0.13218390804597702
Microbotryum cordae,Node 16, 
Microbotryum tenuisporum,Node 16, 
Microbotryum reticulatum,Node 17, 
Node 20,Node 21,0.07662835249042146
Node 19,Node 20,0.07662835249042146
Node 18,Node 19,0.13218390804597702
Microbotryum tragopogonis pratensis,Node 18, 
Microbotryum scorzonerae,Node 18, 
Microbotryum onopordi,Node 19, 
Microbotryum scolymi,Node 20, 
Node 23,Node 24,0.1083743842364532
Node 22,Node 23,0.1083743842364532
Microbotryum intermedium,Node 22, 
Microbotryum betonicae,Node 22, 
Microbotryum pinguiculae,Node 23, 
Node 33,Node 34,0.1083743842364532
Node 32,Node 33,0.05642633228840126
Node 31,Node 32,0.09051724137931035
Node 29,Node 31,0.09051724137931035
Microbotryum tuberculiforme,Node 29, 
Node 28,Node 29,0.1083743842364532
Node 27,Node 28,0.13218390804597702
Sphacelotheca polygoni serrulati,Node 27, 
Sphacelotheca polygoni persicariae,Node 27, 
Liroa emodensis,Node 28, 
Node 30,Node 31,0.1083743842364532
Microbotryum pustulatum,Node 30, 
Microbotryum bosniacum,Node 30, 
Microbotryum bistortarum,Node 32, 
Microbotryum nepalense,Node 33, 
Node 35,Node 36,0.13218390804597702
Bauerago abstrusa,Node 35, 
Bauerago vuyckii,Node 35, 
Node 37,Node 38,0.06551724137931034
Ustilentyloma fluitans,Node 37, 
Ustilentyloma graminis,Node 37, 
Sporobolomyces roseus,Node 39, 
Node 40,Node 41,0.04885057471264368
Leucosporidium scottii,Node 40, 
Leucosporidium intermedium,Node 40, 
Node 44,Node 45,0.04885057471264368
Node 43,Node 44,0.04885057471264368
Slooffia pilati,Node 43, 
Node 42,Node 43,0.04244031830238727
Glaciozyma antarctica,Node 42, 
Kriegeria eriophori,Node 42, 
Camptobasidium hydrophilum,Node 44, 
Node 46,Node 47,0.06551724137931034
Chrysozyma griseoflava,Node 46, 
Heterogastridium pycnidioideum,Node 46, 
Node 49,Node 50,0.07662835249042146
Node 48,Node 49,0.07662835249042146
Sporidiobolus salmonicolor,Node 48, 
Sporobolomyces johnsonii,Node 48, 
Sporidiobolus pararoseus,Node 49, 
Node 55,Node 56,0.06551724137931034
Node 54,Node 55,0.06551724137931034
Rhodosporidiobolus fluvialis,Node 54, 
Node 53,Node 54,0.06551724137931034
Node 51,Node 53,0.05642633228840126
Rhodotorula toruloides,Node 51, 
Rhodotorula mucilaginosa,Node 51, 
Node 52,Node 53,0.06551724137931034
Rhodotorula graminis,Node 52, 
Rhodotorula glutinis,Node 52, 
Microbotryum chloranthae verrucosum,Node 55, 
Sampaiozyma ingeniosa,Node 57, 
Colacogloea peniophorae,Node 58, 
