name,parent,score
Node 27, , 
Outgroup,Node 27, 
Node 26,Node 27,0.8333333333333334
Node 25,Node 26,0.8333333333333334
Node 24,Node 25,0.8333333333333334
Node 23,Node 24,0.3333333333333333
Node 20,Node 23,0.16666666666666666
Node 19,Node 20,0.03333333333333333
Node 17,Node 19,0.08333333333333333
Node 15,Node 17,0.03333333333333333
Node 4,Node 15,0.08333333333333333
Node 3,Node 4,0.16666666666666666
Node 2,Node 3,0.16666666666666666
Node 1,Node 2,0.3333333333333333
Mycoplasma genitalium,Node 1, 
Mycoplasma pneumoniae,Node 1, 
Mycoplasma gallisepticum,Node 2, 
Mycoplasma penetrans,Node 3, 
Mycoplasma haemofelis,Node 4, 
Node 14,Node 15,0.16666666666666666
Node 11,Node 14,0.08333333333333333
Node 10,Node 11,0.08333333333333333
Node 8,Node 10,0.16666666666666666
Node 7,Node 8,0.16666666666666666
Node 5,Node 7,0.03333333333333333
Mycoplasma synoviae,Node 5, 
Mycoplasma crocodyli,Node 5, 
Node 6,Node 7,0.08333333333333333
Mycoplasma agalactiae,Node 6, 
Mycoplasma bovis,Node 6, 
Mycoplasma pulmonis,Node 8, 
Node 9,Node 10,0.16666666666666666
Mycoplasma arthritidis,Node 9, 
Mycoplasma hominis,Node 9, 
Mycoplasma mobile,Node 11, 
Node 13,Node 14,0.3333333333333333
Mycoplasma hyorhinis,Node 13, 
Node 12,Node 13,0.3333333333333333
Mycoplasma hyopneumoniae,Node 12, 
Mycoplasma conjunctivae,Node 12, 
Node 16,Node 17,0.3333333333333333
Mycoplasma mycoides,Node 16, 
Mycoplasma capricolum,Node 16, 
Node 18,Node 19,0.3333333333333333
unidentified mollicute,Node 18, 
Acholeplasma palmae,Node 18, 
Mesoplasma florum,Node 20, 
Node 22,Node 23,0.3333333333333333
Node 21,Node 22,0.16666666666666666
Spiroplasma citri,Node 21, 
Spiroplasma melliferum,Node 21, 
Spiroplasma platyhelix,Node 22, 
Ureaplasma urealyticum,Node 24, 
Acholeplasma laidlawii,Node 25, 
Acholeplasma brassicae,Node 26, 
Acholeplasma axanthum,Node 27, 
