name,parent,score
Node 39, , 
Outgroup,Node 39, 
Node 38,Node 39,0.1375
Node 27,Node 38,0.0625
Node 17,Node 27,0.028409090909090908
Gyrodactylus arcuatus,Node 17, 
Node 16,Node 17,0.028409090909090908
Node 15,Node 16,0.008928571428571428
Node 13,Node 15,0.008928571428571428
Node 12,Node 13,0.008928571428571428
Node 11,Node 12,0.008928571428571428
Node 9,Node 11,0.008928571428571428
Node 8,Node 9,0.008928571428571428
Node 7,Node 8,0.008928571428571428
Node 5,Node 7,0.008928571428571428
Node 2,Node 5,0.008928571428571428
Node 1,Node 2,0.008928571428571428
Polystoma dawiekoki,Node 1, 
Polystoma testimagna,Node 1, 
Polystoma integerrimum,Node 2, 
Polystoma gallieni,Node 2, 
Node 4,Node 5,0.008928571428571428
Node 3,Node 4,0.008928571428571428
Wetapolystoma almae,Node 3, 
Polystoma cuvieri,Node 3, 
Polystoma lopezromani,Node 4, 
Node 6,Node 7,0.008928571428571428
Polystoma nearcticum,Node 6, 
Polystoma naevius,Node 6, 
Polystoma indicum,Node 8, 
Diplorchis ranae,Node 9, 
Node 10,Node 11,0.008928571428571428
Pseudodiplorchis americanus,Node 10, 
Polystoma marmorati,Node 10, 
Protopolystoma xenopodis,Node 10, 
Thaparocleidus vistulensis,Node 12, 
Dictyocotyle coeliaca,Node 13, 
Node 14,Node 15,0.004166666666666667
Diclidophora denticulata,Node 14, 
Polystomoides malayi,Node 14, 
Thaparocleidus siluri,Node 16, 
Node 26,Node 27,0.04861111111111111
Node 25,Node 26,0.028409090909090908
Node 24,Node 25,0.020833333333333332
Node 19,Node 24,0.008928571428571428
Node 18,Node 19,0.04861111111111111
Thaparocleidus levangi,Node 18, 
Thaparocleidus komarudini,Node 18, 
Thaparocleidus sinespinae,Node 19, 
Node 23,Node 24,0.014423076923076924
Node 21,Node 23,0.04861111111111111
Thaparocleidus caecus,Node 21, 
Node 20,Node 21,0.014423076923076924
Thaparocleidus citreum,Node 20, 
Thaparocleidus alatus,Node 20, 
Node 22,Node 23,0.04861111111111111
Thaparocleidus crassipenis,Node 22, 
Thaparocleidus combesi,Node 22, 
Thaparocleidus legendrei,Node 25, 
Thaparocleidus siamensis,Node 26, 
Node 37,Node 38,0.014423076923076924
Node 36,Node 37,0.008928571428571428
Node 35,Node 36,0.008928571428571428
Node 34,Node 35,0.008928571428571428
Node 33,Node 34,0.008928571428571428
Node 30,Node 33,0.008928571428571428
Node 29,Node 30,0.014423076923076924
Gyrodactylus micropsi,Node 29, 
Node 28,Node 29,0.014423076923076924
Gyrodactylus rugiensis,Node 28, 
Gyrodactylus rugiensoides,Node 28, 
Gyrodactylus branchicus,Node 30, 
Node 32,Node 33,0.004166666666666667
Node 31,Node 32,0.008928571428571428
Gyrodactylus arcuatoides,Node 31, 
Gyrodactylus branchialis,Node 31, 
Gyrodactylus salaris,Node 32, 
Gyrodactylus gondae,Node 34, 
Gyrodactylus flavescensis,Node 35, 
Gyrodactylus ostendicus,Node 36, 
Gyrodactylus rarus,Node 37, 
Microcotyle sebastis,Node 39, 
