name,parent,score
Node 16, , 
Outgroup,Node 16, 
Node 15,Node 16,0.1285714285714286
Node 14,Node 15,0.1285714285714286
Node 1,Node 14,0.05357142857142857
Encentrum astridae,Node 1, 
Keratella cochlearis,Node 1, 
Asplanchna sieboldi,Node 1, 
Synchaeta tremula,Node 1, 
Testudinella patina,Node 1, 
Ascomorpha ovalis,Node 1, 
Node 13,Node 14,0.1285714285714286
Node 12,Node 13,0.09523809523809523
Node 11,Node 12,0.09523809523809523
Node 3,Node 11,0.03968253968253969
Brachionus urceolaris,Node 3, 
Node 2,Node 3,0.05357142857142857
Brachionus rubens,Node 2, 
Brachionus quadridentatus,Node 2, 
Node 10,Node 11,0.03968253968253969
Node 6,Node 10,0.028571428571428574
Brachionus calyciflorus,Node 6, 
Node 5,Node 6,0.09523809523809523
Node 4,Node 5,0.09523809523809523
Brachionus diversicornis,Node 4, 
Brachionus forficula,Node 4, 
Brachionus angularis,Node 5, 
Node 9,Node 10,0.1285714285714286
Node 8,Node 9,0.028571428571428574
Node 7,Node 8,0.05357142857142857
Brachionus dimidiatus,Node 7, 
Brachionus plicatilis,Node 7, 
Brachionus ibericus,Node 8, 
Brachionus rotundiformis,Node 9, 
Plationus patulus,Node 12, 
Epiphanes senta,Node 13, 
Lecane bulla,Node 15, 
Synchaeta pectinata,Node 16, 
