name,parent,score
Node 20, , 
Outgroup,Node 20, 
Node 19,Node 20,0.25
Node 18,Node 19,0.25
Node 17,Node 18,0.4473684210526316
Node 15,Node 17,0.19736842105263158
Node 13,Node 15,0.2807017543859649
Node 12,Node 13,0.04736842105263158
Node 9,Node 12,0.009868421052631578
Node 8,Node 9,0.009868421052631578
Node 6,Node 8,0.018796992481203006
Node 5,Node 6,0.024291497975708502
Node 1,Node 5,0.2807017543859649
Tetrahymena rostrata,Node 1, 
Tetrahymena borealis,Node 1, 
Node 4,Node 5,0.030701754385964914
Node 3,Node 4,0.030701754385964914
Tetrahymena malaccensis,Node 3, 
Node 2,Node 3,0.024291497975708502
Tetrahymena americanis,Node 2, 
Tetrahymena thermophila,Node 2, 
Tetrahymena tropicalis,Node 4, 
Tetrahymena elliotti,Node 6, 
Node 7,Node 8,0.19736842105263158
Tetrahymena pyriformis,Node 7, 
Tetrahymena vorax,Node 7, 
Tetrahymena mobilis,Node 9, 
Node 11,Node 12,0.14736842105263157
Node 10,Node 11,0.19736842105263158
Tetrahymena patula,Node 10, 
Tetrahymena hegewischi,Node 10, 
Tetrahymena pigmentosa,Node 11, 
Ichthyophthirius multifiliis,Node 13, 
Node 14,Node 15,0.014035087719298246
Paramecium tetraurelia,Node 14, 
Paramecium caudatum,Node 14, 
Node 16,Node 17,0.058479532163742694
Miamiensis avidus,Node 16, 
Anophryoides haemophila,Node 16, 
Paramecium bursaria,Node 18, 
Uronema acuminata,Node 19, 
Pseudocohnilembus persalinus,Node 20, 
