name,parent,score
Node 471, , 
Outgroup,Node 471, 
Node 470,Node 471,0.25
Node 463,Node 470,0.13950143815915628
Node 462,Node 463,0.13950143815915628
Node 392,Node 462,0.049275874249381846
Node 391,Node 392,0.046644295302013423
Node 376,Node 391,0.04426334292106104
Node 256,Node 376,0.009802190038855529
Node 250,Node 256,0.009977628635346755
Node 249,Node 250,0.010728802344266944
Node 247,Node 249,0.011137048925201828
Node 237,Node 247,0.0076333062910244115
Node 71,Node 237,0.00405170270942083
Node 41,Node 71,0.002079077910709075
Node 37,Node 41,0.002326113483831605
Node 35,Node 37,0.0018798973962542605
Node 18,Node 35,0.002326113483831605
Node 17,Node 18,0.0024246421228226716
Node 3,Node 17,0.002779264627166797
Node 2,Node 3,0.0021691571804664613
Node 1,Node 2,0.0021087761763303628
Phytophthora nemorosa,Node 1, 
Phytophthora ilicis,Node 1, 
Phytophthora pseudosyringae,Node 2, 
Phytophthora psychrophila,Node 3, 
Node 16,Node 17,0.0037364938835737064
Node 15,Node 16,0.0029336034781140517
Node 14,Node 15,0.0030959082052392293
Node 10,Node 14,0.0018798973962542605
Node 5,Node 10,0.0026683916875555914
Node 4,Node 5,0.0025266482431898934
Phytophthora inflata,Node 4, 
Phytophthora citricola,Node 4, 
Phytophthora pini,Node 5, 
Node 9,Node 10,0.0030137220536057795
Node 8,Node 9,0.0028554754262370254
Node 7,Node 8,0.002779264627166797
Node 6,Node 7,0.0022940128161377167
Phytophthora mexicana,Node 6, 
Phytophthora capsici,Node 6, 
Phytophthora glovera,Node 7, 
Phytophthora tropicalis,Node 8, 
Phytophthora siskiyouensis,Node 9, 
Node 13,Node 14,0.003054551712269833
Node 11,Node 13,0.002230887480784373
Phytophthora citrophthora,Node 11, 
Phytophthora botryosa,Node 11, 
Node 12,Node 13,0.002458248790385516
Phytophthora colocasiae,Node 12, 
Phytophthora meadii,Node 12, 
Phytophthora multivesiculata,Node 15, 
Phytophthora bisheria,Node 16, 
Phytophthora quercina,Node 18, 
Node 34,Node 35,0.002049700707418828
Node 30,Node 34,0.0032668118583048136
Node 26,Node 30,0.002079077910709075
Node 21,Node 26,0.0021691571804664613
Node 20,Node 21,0.0028554754262370254
Phytophthora tentaculata,Node 20, 
Node 19,Node 20,0.002779264627166797
Phytophthora clandestina,Node 19, 
Phytophthora iranica,Node 19, 
Phytophthora nicotianae,Node 21, 
Node 25,Node 26,0.002391421738795032
Phytophthora phaseoli,Node 25, 
Node 24,Node 25,0.0021691571804664613
Node 22,Node 24,0.0018798973962542605
Phytophthora mirabilis,Node 22, 
Phytophthora infestans,Node 22, 
Node 23,Node 24,0.0021691571804664613
Phytophthora andina,Node 23, 
Phytophthora ipomoeae,Node 23, 
Node 29,Node 30,0.002894295302013423
Node 28,Node 29,0.0025966762543943754
Node 27,Node 28,0.002632319254109231
Phytophthora pseudotsugae,Node 27, 
Phytophthora cactorum,Node 27, 
Phytophthora hedraiandra,Node 28, 
Phytophthora idaei,Node 29, 
Node 33,Node 34,0.0026683916875555914
Phytophthora megakarya,Node 33, 
Node 32,Node 33,0.0026683916875555914
Phytophthora arecae,Node 32, 
Node 31,Node 32,0.0019353005930187138
Phytophthora palmivora,Node 31, 
Phytophthora litchii,Node 31, 
Node 36,Node 37,0.0030959082052392293
Phytophthora katsurae,Node 36, 
Phytophthora heveae,Node 36, 
Node 40,Node 41,0.003054551712269833
Node 38,Node 40,0.002894295302013423
Phytophthora humicola,Node 38, 
Phytophthora inundata,Node 38, 
Node 39,Node 40,0.003054551712269833
Phytophthora gonapodyides,Node 39, 
Phytophthora megasperma,Node 39, 
Node 70,Node 71,0.002049700707418828
Node 55,Node 70,0.003355704697986577
Node 48,Node 55,0.0016442953020134228
Node 46,Node 48,0.002492248518387692
Phytophthora niederhauserii,Node 46, 
Node 45,Node 46,0.0029336034781140517
Node 44,Node 45,0.0029734092260640557
Node 42,Node 44,0.0026683916875555914
Phytophthora sinensis,Node 42, 
Phytophthora melonis,Node 42, 
Node 43,Node 44,0.0032668118583048136
Phytophthora vignae,Node 43, 
Phytophthora cajani,Node 43, 
Phytophthora pistaciae,Node 45, 
Node 47,Node 48,0.001428984297228734
Phytophthora cinnamomi,Node 47, 
Phytophthora sojae,Node 47, 
Node 54,Node 55,0.004708811431045681
Node 53,Node 54,0.0037871524448705655
Node 52,Node 53,0.004277883088272965
Node 49,Node 52,0.002894295302013423
Phytophthora rubi,Node 49, 
Phytophthora fragariae,Node 49, 
Node 51,Node 52,0.0025966762543943754
Phytophthora cambivora,Node 51, 
Node 50,Node 51,0.0021691571804664613
Phytophthora alni,Node 50, 
Phytophthora uniformis,Node 50, 
Phytophthora europaea,Node 53, 
Phytophthora uliginosa,Node 54, 
Node 69,Node 70,0.002779264627166797
Node 61,Node 69,0.0029734092260640557
Node 60,Node 61,0.002779264627166797
Node 59,Node 60,0.0027418562776231788
Node 57,Node 59,0.0027418562776231788
Phytophthora drechsleri,Node 57, 
Node 56,Node 57,0.003355704697986577
Phytophthora erythroseptica,Node 56, 
Phytophthora cryptogea,Node 56, 
Node 58,Node 59,0.0026683916875555914
Phytophthora medicaginis,Node 58, 
Phytophthora trifolii,Node 58, 
Phytophthora kelmania,Node 60, 
Phytophthora sansomea,Node 61, 
Node 68,Node 69,0.0019634442381836355
Node 67,Node 68,0.001772500430218551
Node 63,Node 67,0.0027418562776231788
Node 62,Node 63,0.002492248518387692
Phytophthora porri,Node 62, 
Phytophthora primulae,Node 62, 
Phytophthora brassicae,Node 63, 
Node 66,Node 67,0.0017204374339931181
Phytophthora syringae,Node 66, 
Node 65,Node 66,0.0022940128161377167
Phytophthora hibernalis,Node 65, 
