name,parent,score
Node 11, , 
Outgroup,Node 11, 
Node 10,Node 11,0.25
Node 6,Node 10,0.25
Node 3,Node 6,0.25
Node 2,Node 3,0.25
Ophiothrix caespitosa,Node 2, 
Node 1,Node 2,0.25
Ophiactis savignyi,Node 1, 
Ophiactis abyssicola,Node 1, 
Amphipholis squamata,Node 3, 
Node 5,Node 6,0.25
Node 4,Node 5,0.25
Ophiopsammus maculata,Node 4, 
Ophiomyxa australis,Node 4, 
Ophiocoma wendtii,Node 5, 
Node 9,Node 10,0.25
Node 8,Node 9,0.0
Node 7,Node 8,0.25
Ophioplocus japonicus,Node 7, 
Ophioderma cenereum,Node 7, 
Asteronyx loveni,Node 8, 
Ophiomusium lymani,Node 9, 
Astrotoma agassizii,Node 11, 
