name,parent,score
Node 60, , 
Outgroup,Node 60, 
Node 58,Node 60,0.11666666666666667
Node 57,Node 58,0.11666666666666667
Node 56,Node 57,0.11666666666666667
Node 54,Node 56,0.11666666666666667
Node 53,Node 54,0.061111111111111116
Node 52,Node 53,0.061111111111111116
Node 51,Node 52,0.061111111111111116
Node 50,Node 51,0.061111111111111116
Node 49,Node 50,0.05
Node 48,Node 49,0.05
Dactylaria fragilis,Node 48, 
Node 47,Node 48,0.061111111111111116
Node 46,Node 47,0.09285714285714286
Node 45,Node 46,0.09285714285714286
Node 40,Node 45,0.075
Node 38,Node 40,0.075
Node 34,Node 38,0.075
Node 33,Node 34,0.09285714285714286
Node 32,Node 33,0.11666666666666667
Node 19,Node 32,0.04090909090909091
Node 15,Node 19,0.03333333333333333
Node 13,Node 15,0.03333333333333333
Node 12,Node 13,0.03333333333333333
Arthrobotrys musiformis,Node 12, 
Node 11,Node 12,0.03333333333333333
Node 10,Node 11,0.03333333333333333
Node 7,Node 10,0.0125
Node 6,Node 7,0.016666666666666666
Node 5,Node 6,0.016666666666666666
Arthrobotrys anchonia,Node 5, 
Node 4,Node 5,0.016666666666666666
Dactylella mammillata,Node 4, 
Node 3,Node 4,0.02692307692307692
Node 2,Node 3,0.02142857142857143
Monacrosporium multiforme,Node 2, 
Node 1,Node 2,0.02142857142857143
Orbilia auricolor,Node 1, 
Arthrobotrys elegans,Node 1, 
Arthrobotrys polycephala,Node 3, 
Arthrobotrys conoides,Node 6, 
Monacrosporium psychrophilum,Node 7, 
Node 9,Node 10,0.02692307692307692
Node 8,Node 9,0.03333333333333333
Arthrobotrys robusta,Node 8, 
Arthrobotrys oligospora,Node 8, 
Orbilia fimicola,Node 9, 
Arthrobotrys pseudoclavata,Node 11, 
Arthrobotrys vermicola,Node 13, 
Node 14,Node 15,0.075
Arthrobotrys iridis,Node 14, 
Arthrobotrys sinensis,Node 14, 
Node 18,Node 19,0.061111111111111116
Node 17,Node 18,0.075
Arthrobotrys janus,Node 17, 
Node 16,Node 17,0.075
Arthrobotrys eudermata,Node 16, 
Arthrobotrys thaumasia,Node 16, 
Arthrobotrys pyriformis,Node 18, 
Node 31,Node 32,0.05
Node 30,Node 31,0.05
Node 29,Node 30,0.061111111111111116
Dactylellina haptospora,Node 29, 
Node 28,Node 29,0.04090909090909091
Node 26,Node 28,0.04090909090909091
Dactylellina parvicollis,Node 26, 
Node 25,Node 26,0.05
Node 24,Node 25,0.05
Node 20,Node 24,0.061111111111111116
Dactylellina leptospora,Node 20, 
Dactylellina haptotyla,Node 20, 
Node 23,Node 24,0.061111111111111116
Node 22,Node 23,0.061111111111111116
Node 21,Node 22,0.03333333333333333
Dactylellina ellipsospora,Node 21, 
Arthrobotrys gephyropaga,Node 21, 
Dactylellina drechsleri,Node 22, 
Dactylella copepodii,Node 23, 
Dactylella lysipaga,Node 25, 
Node 27,Node 28,0.075
Dactylellina appendiculata,Node 27, 
Dactylella formosana,Node 27, 
Dactylellina robusta,Node 30, 
Dactylellina cionopaga,Node 31, 
Dactylella rhopalota,Node 33, 
Orbilia quercus,Node 34, 
Node 37,Node 38,0.02692307692307692
Node 36,Node 37,0.03333333333333333
Dactylella oxyspora,Node 36, 
Node 35,Node 36,0.15
Dactylaria humicola,Node 35, 
Dactylaria dimorpha,Node 35, 
Dactylaria sparsa,Node 37, 
Node 39,Node 40,0.02692307692307692
Orbilia luteorubella,Node 39, 
Orbilia vinosa,Node 39, 
Node 44,Node 45,0.075
Node 43,Node 44,0.061111111111111116
Drechslerella coelobrocha,Node 43, 
Node 42,Node 43,0.061111111111111116
Node 41,Node 42,0.061111111111111116
Drechslerella brochopaga,Node 41, 
Drechslerella dactyloides,Node 41, 
Drechslerella stenobrocha,Node 42, 
Monacrosporium doedycoides,Node 44, 
Orbilia delicatula,Node 46, 
Vermispora fusarina,Node 47, 
Dactylaria monticola,Node 49, 
Dactylaria zapatensis,Node 50, 
Dactylaria dimorphospora,Node 51, 
Dactylaria lanosa,Node 52, 
Dactylaria higginsii,Node 53, 
Dactylaria parvispora,Node 54, 
Node 55,Node 56,0.061111111111111116
Helicoon gigantisporum,Node 55, 
Helicoon richonis,Node 55, 
Monacrosporium leptosporum,Node 57, 
Arthrobotrys superba,Node 58, 
Node 59,Node 60,0.061111111111111116
Orbilia coccinella,Node 59, 
Orbilia alnea,Node 59, 
