name,parent,score
Node 17, , 
Outgroup,Node 17, 
Node 2,Node 17,0.06666666666666667
Manawa staceyi,Node 2, 
Node 1,Node 2,0.1
Eucypris virens,Node 1, 
Cypridopsis vidua,Node 1, 
Node 16,Node 17,0.4
Node 14,Node 16,0.4
Node 12,Node 14,0.4
Node 4,Node 12,0.4
Node 3,Node 4,0.4
Asteropella slatteryi,Node 3, 
Asteropella monambon,Node 3, 
Asteropterygion magnum,Node 4, 
Node 11,Node 12,0.4
Node 9,Node 11,0.4
Node 7,Node 9,0.4
Node 6,Node 7,0.4
Node 5,Node 6,0.4
Postasterope barnesi,Node 5, 
Parasterope pollex,Node 5, 
Postasterope corrugata,Node 6, 
Parasterope styx,Node 7, 
Node 8,Node 9,0.4
Archasterope efficax,Node 8, 
Bathyleberis oculata,Node 8, 
Node 10,Node 11,0.4
Leuroleberis mackenziei,Node 10, 
Leuroleberis surugaensis,Node 10, 
Node 13,Node 14,0.4
Rutiderma apex,Node 13, 
Euphilomedes sordida,Node 13, 
Node 15,Node 16,0.1
Vargula hilgendorfii,Node 15, 
Darwinula stevensoni,Node 15, 
