name,parent,score
Node 9, , 
Outgroup,Node 9, 
Node 6,Node 9,0.08888888888888889
Node 5,Node 6,0.05555555555555555
Node 2,Node 5,0.08888888888888889
Node 1,Node 2,0.08888888888888889
Tubulanus punctatus,Node 1, 
Tubulanus sexlineatus,Node 1, 
Callinera grandis,Node 2, 
Node 4,Node 5,0.013888888888888888
Node 3,Node 4,0.05555555555555555
Cephalothrix simula,Node 3, 
Cephalothrix filiformis,Node 3, 
Tubulanus rhabdotus,Node 3, 
Tubulanus annulatus,Node 4, 
Cephalothrix rufifrons,Node 6, 
Node 8,Node 9,0.05555555555555555
Node 7,Node 8,0.031746031746031744
Carinoma tremaphoros,Node 7, 
Carinoma mutabilis,Node 7, 
Hubrechtella dubia,Node 8, 
