name,parent,score
Node 376, , 
Outgroup,Node 376, 
Node 177,Node 376,0.0025373134328358212
Node 176,Node 177,0.0025373134328358212
Node 174,Node 176,0.0022460512969134905
Node 173,Node 174,0.0022460512969134905
Node 172,Node 173,0.0022460512969134905
Node 171,Node 172,0.002341235001463272
Node 169,Node 171,0.002341235001463272
Node 168,Node 169,0.002341235001463272
Node 167,Node 168,0.0022460512969134905
Node 166,Node 167,0.0022460512969134905
Node 162,Node 166,0.002341235001463272
Node 161,Node 162,0.002341235001463272
Node 160,Node 161,0.002341235001463272
Node 159,Node 160,0.002341235001463272
Node 158,Node 159,0.002438303531845722
Node 157,Node 158,0.002341235001463272
Node 156,Node 157,0.001971275696986764
Node 89,Node 156,0.004442075337597726
Node 84,Node 89,0.0060508269463493344
Node 81,Node 84,0.0058706467661691535
Node 25,Node 81,0.009778692743180648
Node 24,Node 25,0.009778692743180648
Node 19,Node 24,0.007688828584350972
Node 18,Node 19,0.007688828584350972
Node 14,Node 18,0.007688828584350972
Node 10,Node 14,0.00893075605578664
Node 9,Node 10,0.00893075605578664
Node 7,Node 9,0.00893075605578664
Node 6,Node 7,0.00893075605578664
Node 5,Node 6,0.007921928817451206
Node 2,Node 5,0.007688828584350972
Peziza vesiculosa,Node 2, 
Node 1,Node 2,0.00893075605578664
Sarcosphaera crassa,Node 1, 
Plicaria leiocarpa,Node 1, 
Node 4,Node 5,0.01105583195135434
Node 3,Node 4,0.01105583195135434
Peziza varia,Node 3, 
Peziza echinospora,Node 3, 
Peziza arvernensis,Node 4, 
Peziza ampliata,Node 6, 
Peziza fimeti,Node 7, 
Node 8,Node 9,0.009486465975208701
Peziza alcis,Node 8, 
Peziza nivalis,Node 8, 
Peziza domiciliana,Node 10, 
Node 13,Node 14,0.009203980099502488
Node 12,Node 13,0.009203980099502488
Peziza ammophila,Node 12, 
Node 11,Node 12,0.009203980099502488
Peziza ampelina,Node 11, 
Peziza subcitrina,Node 11, 
Peziza lohjaoensis,Node 13, 
Node 17,Node 18,0.009486465975208701
Node 16,Node 17,0.009486465975208701
Peziza praetervisa,Node 16, 
Node 15,Node 16,0.009486465975208701
Peziza repanda,Node 15, 
Peziza campestris,Node 15, 
Peziza petersii,Node 17, 
Peziza pyrophila,Node 19, 
Node 23,Node 24,0.00893075605578664
Node 22,Node 23,0.009778692743180648
Node 21,Node 22,0.009203980099502488
Node 20,Node 21,0.00893075605578664
Peziza proteana,Node 20, 
Peziza exogelatinosa,Node 20, 
Peziza subviolacea,Node 21, 
Peziza lobulata,Node 22, 
Peziza howsei,Node 23, 
Mattirolomyces terfezioides,Node 25, 
Node 80,Node 81,0.0058706467661691535
Node 63,Node 80,0.0056952081696779264
Node 50,Node 63,0.007243195785776997
Node 32,Node 50,0.010081173081958628
Node 27,Node 32,0.010394456289978678
Peziza phyllogena,Node 27, 
Node 26,Node 27,0.009486465975208701
Peziza ostracoderma,Node 26, 
Peziza vacinii,Node 26, 
Node 31,Node 32,0.012145156570090724
Plicaria endocarpoides,Node 31, 
Node 30,Node 31,0.01253731343283582
Node 29,Node 30,0.012145156570090724
Node 28,Node 29,0.011768082663605052
Plicaria anthracina,Node 28, 
Plicaria trachycarpa,Node 28, 
Hapsidomyces venezuelensis,Node 29, 
Plicaria acanthodictya,Node 30, 
Node 49,Node 50,0.007243195785776997
Node 48,Node 49,0.007462686567164179
Node 46,Node 48,0.007030067056024226
Node 40,Node 46,0.0066218204750893425
Node 39,Node 40,0.006823027718550106
Peziza ellipsospora,Node 39, 
Node 38,Node 39,0.007688828584350972
Node 37,Node 38,0.007688828584350972
Node 36,Node 37,0.007921928817451206
Node 35,Node 36,0.007921928817451206
Peziza badiofusca,Node 35, 
Node 34,Node 35,0.00816231343283582
Peziza limnaea,Node 34, 
Node 33,Node 34,0.007921928817451206
Peziza alaskana,Node 33, 
Peziza badia,Node 33, 
Peziza depressa,Node 36, 
Peziza saniosa,Node 37, 
Peziza atrovinosa,Node 38, 
Peziza whitei,Node 40, 
Node 45,Node 46,0.00816231343283582
Node 44,Node 45,0.008666345690900338
Terfezia claveryi,Node 44, 
Node 43,Node 44,0.007921928817451206
Terfezia arenaria,Node 43, 
Node 42,Node 43,0.007921928817451206
Terfezia boudieri,Node 42, 
Node 41,Node 42,0.010081173081958628
Terfezia olbiensis,Node 41, 
Terfezia leptoderma,Node 41, 
Cazia flexiascus,Node 45, 
Node 47,Node 48,0.012145156570090724
Tirmania nivea,Node 47, 
Tirmania pinoyi,Node 47, 
Ruhlandiella berolinensis,Node 49, 
Node 62,Node 63,0.008410329305851694
Node 54,Node 62,0.009486465975208701
Node 53,Node 54,0.010394456289978678
Node 52,Node 53,0.011405237961137708
Node 51,Node 52,0.010719131614654003
Peziza obtuspiculata,Node 51, 
Peziza polaripapulata,Node 51, 
Peziza luteoloflavida,Node 52, 
Iodowynnea auriformis,Node 53, 
Peziza retrocurvata,Node 54, 
Node 61,Node 62,0.009203980099502488
Node 57,Node 61,0.01105583195135434
Node 56,Node 57,0.010081173081958628
Node 55,Node 56,0.008666345690900338
Peziza succosa,Node 55, 
Peziza brunneoatra,Node 55, 
Peziza succosella,Node 56, 
Peziza michelii,Node 57, 
Node 60,Node 61,0.009203980099502488
Node 59,Node 60,0.009203980099502488
Eremiomyces echinulatis,Node 59, 
Node 58,Node 59,0.010081173081958628
Sarcosphaera coronaria,Node 58, 
Hydnotryopsis setchellii,Node 58, 
Peziza infossa,Node 59, 
Peziza griseo rosea,Node 60, 
Node 79,Node 80,0.007921928817451206
Node 67,Node 79,0.00816231343283582
Node 65,Node 67,0.010394456289978678
Peziza apiculata,Node 65, 
Node 64,Node 65,0.011405237961137708
Peziza subisabellina,Node 64, 
Peziza bananincola,Node 64, 
Node 66,Node 67,0.009778692743180648
Peziza quelepidotia,Node 66, 
Peziza natrophila,Node 66, 
Node 78,Node 79,0.009486465975208701
Node 73,Node 78,0.009203980099502488
Node 71,Node 73,0.011768082663605052
Node 70,Node 71,0.010719131614654003
Node 69,Node 70,0.010081173081958628
Pachyella adnata,Node 69, 
Node 68,Node 69,0.009486465975208701
Pachyella clypeata,Node 68, 
Pachyella violaceonigra,Node 68, 
Pachyella habrospora,Node 70, 
Pachyella punctispora,Node 71, 
Node 72,Node 73,0.010719131614654003
Boudiera dennisii,Node 72, 
Boudiera tracheia,Node 72, 
Node 77,Node 78,0.011768082663605052
Node 76,Node 77,0.011768082663605052
Node 75,Node 76,0.011768082663605052
Node 74,Node 75,0.010719131614654003
Scabropezia scabrosa,Node 74, 
Pachyphlodes melanoxanthus,Node 74, 
Scabropezia flavovirens,Node 75, 
Pachyphlodes citrinus,Node 76, 
Pachyphlodes virescens,Node 77, 
Node 83,Node 84,0.009486465975208701
Node 82,Node 83,0.00816231343283582
Iodophanus carneus,Node 82, 
