name,parent,score
Node 372, , 
Outgroup,Node 372, 
Node 371,Node 372,0.25
Node 359,Node 371,0.009284420289855072
Node 353,Node 359,0.007291666666666666
Node 282,Node 353,0.005208333333333333
Node 105,Node 282,0.003266242937853107
Node 97,Node 105,0.003195028011204482
Node 57,Node 97,0.0037202380952380955
Node 45,Node 57,0.003882575757575758
Node 26,Node 45,0.00422562893081761
Node 13,Node 26,0.004595588235294118
Node 12,Node 13,0.00364122418879056
Node 11,Node 12,0.0038006756756756755
Node 8,Node 11,0.004692656765676568
Node 7,Node 8,0.004050925925925926
Node 6,Node 7,0.00422562893081761
Node 5,Node 6,0.00422562893081761
Node 2,Node 5,0.006419573643410853
Melinna cristata,Node 2, 
Node 1,Node 2,0.006556372549019608
Ampharete acutifrons,Node 1, 
Anobothrus gracilis,Node 1, 
Node 4,Node 5,0.004315476190476191
Node 3,Node 4,0.004050925925925926
Alvinella pompejana,Node 3, 
Paralvinella palmiformis,Node 3, 
Paralvinella grasslei,Node 4, 
Auchenoplax crinita,Node 6, 
Amphicteis dalmatica,Node 7, 
Eclysippe vanelli,Node 8, 
Node 10,Node 11,0.006419573643410853
Pectinaria dodeka,Node 10, 
Node 9,Node 10,0.006419573643410853
Pectinaria granulata,Node 9, 
Pectinaria regalis,Node 9, 
Pectinaria gouldii,Node 12, 
Pectinaria koreni,Node 13, 
Node 25,Node 26,0.005902777777777778
Node 24,Node 25,0.004692656765676568
Node 16,Node 24,0.005661231884057971
Node 14,Node 16,0.006027621722846442
Artacamella tribranchiata,Node 14, 
Artacama proboscidea,Node 14, 
Node 15,Node 16,0.005780677655677656
Thelepus cincinnatus,Node 15, 
Rhinothelepus lobatus,Node 15, 
Node 23,Node 24,0.004892676767676768
Node 20,Node 23,0.005661231884057971
Node 19,Node 20,0.005780677655677656
Node 17,Node 19,0.006027621722846442
Amaeana trilobata,Node 17, 
Lysilla pacifica,Node 17, 
Node 18,Node 19,0.005544354838709677
Amphitritides harpa,Node 18, 
Amphitritides gracilis,Node 18, 
Pista australis,Node 20, 
Node 22,Node 23,0.004892676767676768
Pista cristata,Node 22, 
Node 21,Node 22,0.005317982456140351
Lanice conchilega,Node 21, 
Loimia medusa,Node 21, 
Eupolymnia nesidensis,Node 25, 
Node 44,Node 45,0.007612179487179487
Node 41,Node 44,0.00830518018018018
Node 33,Node 41,0.006285919540229885
Node 32,Node 33,0.006285919540229885
Node 31,Node 32,0.005780677655677656
Node 30,Node 31,0.005902777777777778
Node 29,Node 30,0.005902777777777778
Aphelochaeta marioni,Node 29, 
Node 28,Node 29,0.005902777777777778
Node 27,Node 28,0.005780677655677656
Ctenodrilus serratus,Node 27, 
Dodecaceria concharum,Node 27, 
Dodecaceria atra,Node 28, 
Caulleriella parva,Node 30, 
Cirratulus cirratus,Node 31, 
Cirratulus spectabilis,Node 32, 
Cirriformia tentaculata,Node 33, 
Node 40,Node 41,0.00830518018018018
Node 39,Node 40,0.00698678861788618
Node 37,Node 39,0.00698678861788618
Brada villosa,Node 37, 
Node 36,Node 37,0.006696428571428572
Node 34,Node 36,0.006419573643410853
Ilyphagus octobranchus,Node 34, 
Diplocirrus glaucus,Node 34, 
Node 35,Node 36,0.006285919540229885
Poeobius meseres,Node 35, 
Pherusa plumosa,Node 35, 
Node 38,Node 39,0.006696428571428572
Flabelligera affinis,Node 38, 
Flabelligera infundibularis,Node 38, 
Macrochaeta clavicornis,Node 40, 
Node 43,Node 44,0.006419573643410853
Node 42,Node 43,0.006155303030303031
Fauveliopsis banyuls,Node 42, 
Fauveliopsis scabra,Node 42, 
Sternaspis scutata,Node 43, 
Node 56,Node 57,0.005780677655677656
Node 55,Node 56,0.005780677655677656
Node 54,Node 55,0.006285919540229885
Node 53,Node 54,0.006696428571428572
Node 52,Node 53,0.005208333333333333
Node 51,Node 52,0.005429964539007092
Node 50,Node 51,0.005661231884057971
Node 49,Node 50,0.005429964539007092
Node 48,Node 49,0.005780677655677656
Node 47,Node 48,0.005780677655677656
Pygospio elegans,Node 47, 
Node 46,Node 47,0.005780677655677656
Polydora ciliata,Node 46, 
Boccardiella ligerica,Node 46, 
Scolelepis squamata,Node 48, 
Malacoceros fuliginosus,Node 49, 
Polydora giardi,Node 50, 
Aonides oxycephala,Node 51, 
Marenzelleria viridis,Node 52, 
Prionospio dubia,Node 53, 
Apistobranchus typicus,Node 54, 
Poecilochaetus serpens,Node 55, 
Magelona mirabilis,Node 56, 
Node 96,Node 97,0.003195028011204482
Node 94,Node 96,0.005661231884057971
Node 77,Node 94,0.005902777777777778
Node 73,Node 77,0.006419573643410853
Node 72,Node 73,0.004791666666666667
Node 71,Node 72,0.004892676767676768
Node 70,Node 71,0.004892676767676768
Node 69,Node 70,0.004500404530744336
Node 58,Node 69,0.005902777777777778
Amphiglena terebro,Node 58, 
Pseudopotamilla reniformis,Node 58, 
Node 68,Node 69,0.004500404530744336
Node 65,Node 68,0.006027621722846442
Node 63,Node 65,0.006155303030303031
Node 62,Node 63,0.005780677655677656
Node 61,Node 62,0.005780677655677656
Node 59,Node 61,0.006419573643410853
Galeolaria caespitosa,Node 59, 
Ficopomatus enigmaticus,Node 59, 
Node 60,Node 61,0.005902777777777778
Hydroides norvegicus,Node 60, 
Serpula vermicularis,Node 60, 
Spirorbis spirorbis,Node 62, 
Romanchella quadricostalis,Node 63, 
Node 64,Node 65,0.007949561403508772
Manayunkia athalassia,Node 64, 
Novafabricia labrus,Node 64, 
Node 67,Node 68,0.005429964539007092
Node 66,Node 67,0.005661231884057971
Sabella pavonina,Node 66, 
Sabella spallanzanii,Node 66, 
Sabella crassicornis,Node 67, 
Amphicorina mobilis,Node 70, 
Chitinopoma serrula,Node 71, 
Pomatoceros lamarckii,Node 72, 
Schizobranchia insignis,Node 73, 
Node 76,Node 77,0.005661231884057971
Gunnarea capensis,Node 76, 
Node 75,Node 76,0.005544354838709677
Idanthyrsus pennatus,Node 75, 
Node 74,Node 75,0.005902777777777778
Sabellaria alveolata,Node 74, 
Phragmatopoma californica,Node 74, 
Node 93,Node 94,0.007137345679012346
Node 92,Node 93,0.007137345679012346
Node 89,Node 92,0.006285919540229885
Node 86,Node 89,0.006285919540229885
