name,parent,score
Node 11, , 
Outgroup,Node 11, 
Node 7,Node 11,0.25
Node 6,Node 7,0.25
Node 2,Node 6,0.6666666666666666
Node 1,Node 2,0.6666666666666666
Pterocorys zancleus,Node 1, 
Pterocanium trilobum,Node 1, 
Pseudocubus obeliscus,Node 2, 
Node 5,Node 6,0.25
Node 4,Node 5,0.25
Node 3,Node 4,0.6666666666666666
Siphonosphaera cyathina,Node 3, 
Sphaerozoum punctatum,Node 3, 
Collozoum inerme,Node 4, 
Thalassicolla pellucida,Node 5, 
Eucyrtidium hexastichum,Node 7, 
Node 10,Node 11,0.25
Larcopyle butschlii,Node 10, 
Node 9,Node 10,0.25
Node 8,Node 9,0.25
Spongaster tetras,Node 8, 
Didymocyrtis tetrathalamus,Node 8, 
Tetrapyle octacantha,Node 9, 
