name,parent,score
Node 26, , 
Outgroup,Node 26, 
Node 25,Node 26,0.016203703703703703
Node 24,Node 25,0.016203703703703703
Node 22,Node 24,0.016203703703703703
Node 21,Node 22,0.016203703703703703
Node 20,Node 21,0.011424731182795697
Node 19,Node 20,0.011424731182795697
Node 18,Node 19,0.011424731182795697
Node 1,Node 18,0.14583333333333334
Lepidopleurus cajetanus,Node 1, 
Leptochiton asellus,Node 1, 
Node 17,Node 18,0.010416666666666666
Callochiton septemvalvis,Node 17, 
Node 16,Node 17,0.011424731182795697
Node 3,Node 16,0.016203703703703703
Node 2,Node 3,0.016203703703703703
Cryptoplax japonica,Node 2, 
Acanthochitona crinita,Node 2, 
Nuttallochiton mirandus,Node 3, 
Node 15,Node 16,0.011424731182795697
Node 10,Node 15,0.01364942528735632
Node 4,Node 10,0.012499999999999999
Nuttallina californica,Node 4, 
Lepidochitona cinerea,Node 4, 
Node 9,Node 10,0.014880952380952382
Placiphorella velata,Node 9, 
Node 8,Node 9,0.014880952380952382
Node 7,Node 8,0.006193693693693694
Node 6,Node 7,0.005482456140350877
Node 5,Node 6,0.017628205128205128
Mopalia muscosa,Node 5, 
Dendrochiton flectens,Node 5, 
Cryptochiton stelleri,Node 6, 
Katharina tunicata,Node 7, 
Tonicella lineata,Node 8, 
Node 14,Node 15,0.017628205128205128
Node 12,Node 14,0.012499999999999999
Node 11,Node 12,0.01364942528735632
Lorica volvox,Node 11, 
Chiton olivaceus,Node 11, 
Ischnochiton comptus,Node 12, 
Node 13,Node 14,0.006193693693693694
Chaetopleura apiculata,Node 13, 
Callistochiton antiquus,Node 13, 
Acanthopleura granulata,Node 19, 
Ischnochiton australis,Node 20, 
Plaxiphora albida,Node 21, 
Lepidochitona corrugata,Node 22, 
Node 23,Node 24,0.14583333333333334
Nierstraszella lineata,Node 23, 
Hanleyella oldroydi,Node 23, 
Liolophura japonica,Node 25, 
Lepidochitona hartwegii,Node 26, 
