name,parent,score
Node 83, , 
Outgroup,Node 83, 
Node 81,Node 83,0.42857142857142855
Node 78,Node 81,0.9285714285714286
Node 74,Node 78,0.17857142857142858
Node 68,Node 74,0.09523809523809523
Node 67,Node 68,0.07142857142857142
Node 60,Node 67,0.07142857142857142
Node 57,Node 60,0.1285714285714286
Node 56,Node 57,0.1285714285714286
Node 55,Node 56,0.1285714285714286
Node 47,Node 55,0.05357142857142857
Node 44,Node 47,0.09523809523809523
Node 36,Node 44,0.07142857142857142
Node 35,Node 36,0.17857142857142858
Node 34,Node 35,0.17857142857142858
Node 33,Node 34,0.2619047619047619
Node 30,Node 33,0.1285714285714286
Node 23,Node 30,0.1285714285714286
Node 5,Node 23,0.1285714285714286
Node 3,Node 5,0.17857142857142858
Pogonatum macrophyllum,Node 3, 
Node 2,Node 3,0.17857142857142858
Node 1,Node 2,0.17857142857142858
Pogonatum fastigiatum,Node 1, 
Pogonatum sinense,Node 1, 
Pogonatum cirratum,Node 2, 
Node 4,Node 5,0.17857142857142858
Pogonatum usambaricum,Node 4, 
Pogonatum nudiusculum,Node 4, 
Node 22,Node 23,0.1285714285714286
Node 20,Node 22,0.1285714285714286
Node 12,Node 20,0.1285714285714286
Node 7,Node 12,0.1285714285714286
Pogonatum contortum,Node 7, 
Node 6,Node 7,0.17857142857142858
Pogonatum semipellucidum,Node 6, 
Pogonatum proliferum,Node 6, 
Node 11,Node 12,0.17857142857142858
Node 9,Node 11,0.17857142857142858
Node 8,Node 9,0.17857142857142858
Pogonatum piliferum,Node 8, 
Pogonatum neocaledonicum,Node 8, 
Pogonatum subtortile,Node 9, 
Node 10,Node 11,0.17857142857142858
Pogonatum rufisetum,Node 10, 
Pogonatum pergranulatum,Node 10, 
Node 19,Node 20,0.09523809523809523
Node 16,Node 19,0.1285714285714286
Node 15,Node 16,0.1285714285714286
Node 14,Node 15,0.17857142857142858
Node 13,Node 14,0.17857142857142858
Pogonatum comosum,Node 13, 
Pogonatum procerum,Node 13, 
Pogonatum neglectum,Node 14, 
Pogonatum nipponicum,Node 15, 
Pogonatum tortile,Node 16, 
Node 18,Node 19,0.2619047619047619
Pogonatum subulatum,Node 18, 
Node 17,Node 18,0.1285714285714286
Pogonatum inflexum,Node 17, 
Pogonatum neesii,Node 17, 
Node 21,Node 22,0.17857142857142858
Pogonatum belangeri,Node 21, 
Pogonatum tubulosum,Node 21, 
Node 29,Node 30,0.17857142857142858
Node 27,Node 29,0.2619047619047619
Node 26,Node 27,0.2619047619047619
Node 25,Node 26,0.17857142857142858
Node 24,Node 25,0.1285714285714286
Pogonatum tahitense,Node 24, 
Pogonatum campylocarpon,Node 24, 
Pogonatum pensilvanicum,Node 25, 
Pogonatum aloides,Node 26, 
Pogonatum nanum,Node 27, 
Node 28,Node 29,0.17857142857142858
Pogonatum spinulosum,Node 28, 
Pogonatum brachyphyllum,Node 28, 
Node 32,Node 33,0.09523809523809523
Pogonatum japonicum,Node 32, 
Node 31,Node 32,0.2619047619047619
Pogonatum perichaetiale,Node 31, 
Pogonatum dentatum,Node 31, 
Pogonatum microstomum,Node 34, 
Pogonatum urnigerum,Node 35, 
Polytrichastrum alpinum,Node 36, 
Node 43,Node 44,0.9285714285714286
Node 41,Node 43,0.42857142857142855
Node 38,Node 41,0.09523809523809523
Polytrichum commune,Node 38, 
Node 37,Node 38,0.07142857142857142
Polytrichum subpilosum,Node 37, 
Polytrichum brachymitrium,Node 37, 
Node 40,Node 41,0.17857142857142858
Polytrichum piliferum,Node 40, 
Node 39,Node 40,0.05357142857142857
Polytrichum strictum,Node 39, 
Polytrichum juniperinum,Node 39, 
Node 42,Node 43,0.9285714285714286
Polytrichastrum formosum,Node 42, 
Polytrichastrum longisetum,Node 42, 
Node 46,Node 47,0.1285714285714286
Oligotrichum parallelum,Node 46, 
Node 45,Node 46,0.09523809523809523
Oligotrichum hercynicum,Node 45, 
Oligotrichum falcatum,Node 45, 
Node 54,Node 55,0.09523809523809523
Node 52,Node 54,0.1285714285714286
Node 51,Node 52,0.1285714285714286
Node 50,Node 51,0.1285714285714286
Node 49,Node 50,0.09523809523809523
Node 48,Node 49,0.09523809523809523
Atrichum undulatum,Node 48, 
Atrichum androgynum,Node 48, 
Atrichum oerstedianum,Node 49, 
Atrichum angustatum,Node 50, 
Atrichum tenellum,Node 51, 
Steereobryon subulirostrum,Node 52, 
Node 53,Node 54,0.17857142857142858
Psilopilum cavifolium,Node 53, 
Psilopilum laevigatum,Node 53, 
Meiotrichum lyallii,Node 56, 
Oligotrichum austroaligerum,Node 57, 
Node 59,Node 60,0.2619047619047619
Hebantia rigida,Node 59, 
Node 58,Node 59,0.1285714285714286
Dendroligotrichum squamosum,Node 58, 
Dendroligotrichum dendroides,Node 58, 
Node 66,Node 67,0.1285714285714286
Node 61,Node 66,0.1285714285714286
Oligotrichum canaliculatum,Node 61, 
Itatiella ulei,Node 61, 
Node 65,Node 66,0.17857142857142858
Node 62,Node 65,0.2619047619047619
Notoligotrichum trichodon,Node 62, 
Notoligotrichum tapes,Node 62, 
Node 64,Node 65,0.1285714285714286
Notoligotrichum australe,Node 64, 
Node 63,Node 64,0.2619047619047619
Notoligotrichum angulatum,Node 63, 
Notoligotrichum minimum,Node 63, 
Pogonatum gracilifolium,Node 68, 
Node 73,Node 74,0.2619047619047619
Node 72,Node 73,0.17857142857142858
Node 71,Node 72,0.17857142857142858
Polytrichadelphus purpureus,Node 71, 
Node 70,Node 71,0.17857142857142858
Node 69,Node 70,0.2619047619047619
Polytrichadelphus longisetus,Node 69, 
Polytrichadelphus peruvianus,Node 69, 
Polytrichadelphus pseudopolytrichum,Node 70, 
Polytrichadelphus innovans,Node 72, 
Polytrichadelphus magellanicus,Node 73, 
Node 77,Node 78,0.1285714285714286
Dawsonia polytrichoides,Node 77, 
Node 76,Node 77,0.1285714285714286
Dawsonia papuana,Node 76, 
Node 75,Node 76,0.07142857142857142
Dawsonia superba,Node 75, 
Polytrichastrum pallidisetum,Node 75, 
Node 80,Node 81,0.42857142857142855
Node 79,Node 80,0.1285714285714286
Lyellia aspera,Node 79, 
Lyellia crispa,Node 79, 
Bartramiopsis lescurii,Node 80, 
Node 82,Node 83,0.07142857142857142
Alophosia azorica,Node 82, 
Atrichopsis compressa,Node 82, 
