name,parent,score
Node 11, , 
Outgroup,Node 11, 
Node 9,Node 11,0.3
Node 8,Node 9,0.3
Node 7,Node 8,0.3
Node 6,Node 7,0.3
Nymphon australe,Node 6, 
Node 5,Node 6,0.05
Ammothella biunguiculata,Node 5, 
Node 4,Node 5,0.05
Node 3,Node 4,0.05
Node 1,Node 3,0.0
Pseudopallene ambigua,Node 1, 
Achelia echinata,Node 1, 
Node 2,Node 3,0.05
Endeis australis,Node 2, 
Anoplodactylus eroticus,Node 2, 
Endeis spinosa,Node 4, 
Austropallene cornigera,Node 7, 
Nymphon gracile,Node 8, 
Achelia bituberculata,Node 9, 
Node 10,Node 11,0.3
Decolopoda australis,Node 10, 
Colossendeis megalonyx,Node 10, 
