name,parent,score
Node 19, , 
Outgroup,Node 19, 
Node 7,Node 19,0.044444444444444446
Node 4,Node 7,0.14444444444444446
Node 2,Node 4,0.14444444444444446
Node 1,Node 2,0.14444444444444446
Platidia anomioides,Node 1, 
Stenosarina crosnieri,Node 1, 
Gryphus vitreus,Node 2, 
Node 3,Node 4,0.14444444444444446
Liothyrella uva,Node 3, 
Liothyrella neozelanica,Node 3, 
Node 6,Node 7,0.011111111111111112
Cancellothyris hedleyi,Node 6, 
Node 5,Node 6,0.006944444444444444
Terebratulina septentrionalis,Node 5, 
Terebratulina retusa,Node 5, 
Node 18,Node 19,0.05555555555555555
Laqueus rubellus,Node 18, 
Node 17,Node 18,0.015873015873015872
Node 15,Node 17,0.044444444444444446
Node 14,Node 15,0.044444444444444446
Node 11,Node 14,0.044444444444444446
Node 10,Node 11,0.14444444444444446
Node 9,Node 10,0.14444444444444446
Node 8,Node 9,0.1111111111111111
Terebratella sanguinea,Node 8, 
Calloria inconspicua,Node 8, 
Gyrothyris mawsoni,Node 9, 
Neothyris parva,Node 10, 
Terebratalia transversa,Node 11, 
Node 13,Node 14,0.14444444444444446
Node 12,Node 13,0.044444444444444446
Fallax neocaledonensis,Node 12, 
Laqueus californianus,Node 12, 
Megerlia truncata,Node 13, 
Gwynia capsula,Node 15, 
Node 16,Node 17,0.14444444444444446
Notosaria nigricans,Node 16, 
Eohemithiris grayi,Node 16, 
