Tb12124	310453	?11101110
Tb12125	310453	11101111101111110
Tb12120	407952	11001111111011100111
Tb12120	333526	11001111111011100111
Tb12120	45134	11001111111011100111
Tb12120	240342	11001111111011100111
Tb12120	463686	11001111111011100111
Tb12120	278083	11001111111011100111
Tb12120	184079	11001111111011100111
Tb12120	240343	11001111111011100111
Tb12120	233969	11001111111011100111
Tb12120	120395	11001111111011100111
Tb12120	310453	11222221111221122222
Tb12120	315547	11001111111011100111
Tb12120	240362	11001111111011100111
Tb12120	306121	11001111111011100111
Tb12123	310453	11101011110111
Tb12122	310453	111000111000100
