name,parent,score
Node 162, , 
Outgroup,Node 162, 
Node 160,Node 162,0.029452529452529453
Node 158,Node 160,0.029452529452529453
Node 149,Node 158,0.028028028028028028
Node 148,Node 149,0.026705276705276705
Node 145,Node 148,0.026705276705276705
Node 143,Node 145,0.025473749611680644
Node 142,Node 143,0.025473749611680644
Node 141,Node 142,0.024324324324324326
Node 140,Node 141,0.024324324324324326
Node 139,Node 140,0.024324324324324326
Node 138,Node 139,0.024324324324324326
Node 137,Node 138,0.024324324324324326
Node 136,Node 137,0.024324324324324326
Node 135,Node 136,0.023249055507120024
Node 134,Node 135,0.024324324324324326
Node 133,Node 134,0.024324324324324326
Node 132,Node 133,0.024324324324324326
Node 131,Node 132,0.023249055507120024
Node 130,Node 131,0.023249055507120024
Node 129,Node 130,0.024324324324324326
Node 128,Node 129,0.024324324324324326
Node 127,Node 128,0.02224099099099099
Node 126,Node 127,0.02224099099099099
Node 125,Node 126,0.017306780464675202
Node 124,Node 125,0.017306780464675202
Node 123,Node 124,0.016632016632016633
Node 122,Node 123,0.015381234893430015
Node 121,Node 122,0.015381234893430015
Node 87,Node 121,0.00950950950950951
Node 75,Node 87,0.00950950950950951
Node 72,Node 75,0.009172809172809172
Node 71,Node 72,0.008848133848133847
Node 70,Node 71,0.008848133848133847
Node 69,Node 70,0.008232370301335818
Node 60,Node 69,0.009858915519292877
Node 54,Node 60,0.010221760221760221
Node 32,Node 54,0.013718263718263717
Node 24,Node 32,0.013718263718263717
Node 21,Node 24,0.011399154256297114
Node 20,Node 21,0.011399154256297114
Node 13,Node 20,0.011399154256297114
Node 4,Node 13,0.02224099099099099
Node 3,Node 4,0.02224099099099099
Node 2,Node 3,0.02224099099099099
Node 1,Node 2,0.02224099099099099
 boleticola,Node 1, 
 schatavii,Node 1, 
 oleophila,Node 2, 
 santamariae,Node 3, 
 fragi,Node 4, 
Node 12,Node 13,0.011399154256297114
Node 10,Node 12,0.011399154256297114
Node 7,Node 10,0.020402755696873342
Node 6,Node 7,0.020402755696873342
Debaryomyces coudertii,Node 6, 
Node 5,Node 6,0.020402755696873342
Debaryomyces maramus,Node 5, 
Debaryomyces nepalensis,Node 5, 
Debaryomyces prosopidis,Node 7, 
Node 9,Node 10,0.011399154256297114
Node 8,Node 9,0.011399154256297114
Debaryomyces fabryi,Node 8, 
Debaryomyces hansenii,Node 8, 
Debaryomyces subglobosus,Node 9, 
Node 11,Node 12,0.021294021294021297
Debaryomyces robertsiae,Node 11, 
Debaryomyces udenii,Node 11, 
Node 19,Node 20,0.021294021294021297
Schwanniomyces etchellsii,Node 19, 
Node 18,Node 19,0.021294021294021297
Node 17,Node 18,0.021294021294021297
Node 16,Node 17,0.021294021294021297
Node 14,Node 16,0.02224099099099099
Schwanniomyces capriottii,Node 14, 
Schwanniomyces vanrijiae,Node 14, 
Node 15,Node 16,0.021294021294021297
Schwanniomyces pseudopolymorphus,Node 15, 
Schwanniomyces polymorphus,Node 15, 
Schwanniomyces yamadae,Node 17, 
Schwanniomyces occidentalis,Node 18, 
 glucosophila,Node 21, 
Node 23,Node 24,0.016632016632016633
Node 22,Node 23,0.016632016632016633
Meyerozyma caribbica,Node 22, 
Meyerozyma guilliermondii,Node 22, 
 carpophila,Node 23, 
Node 31,Node 32,0.02224099099099099
Node 29,Node 31,0.02224099099099099
Node 28,Node 29,0.02224099099099099
Node 26,Node 28,0.02224099099099099
Node 25,Node 26,0.02224099099099099
Priceomyces haplophilus,Node 25, 
Priceomyces castillae,Node 25, 
Priceomyces medius,Node 26, 
Node 27,Node 28,0.02224099099099099
Priceomyces melissophilus,Node 27, 
Priceomyces fermenticarens,Node 27, 
Priceomyces carsonii,Node 29, 
Node 30,Node 31,0.02224099099099099
Millerozyma farinosa,Node 30, 
Millerozyma acaciae,Node 30, 
Node 53,Node 54,0.010598834128245893
Node 43,Node 53,0.011399154256297114
Node 42,Node 43,0.011399154256297114
Node 38,Node 42,0.011824324324324325
Node 36,Node 38,0.023249055507120024
Node 35,Node 36,0.02224099099099099
Node 34,Node 35,0.02224099099099099
Node 33,Node 34,0.02224099099099099
Candida tropicalis,Node 33, 
Candida sojae,Node 33, 
Candida neerlandica,Node 34, 
Candida viswanathii,Node 35, 
Candida maltosa,Node 36, 
Node 37,Node 38,0.011399154256297114
Candida dubliniensis,Node 37, 
Candida albicans,Node 37, 
Node 41,Node 42,0.02224099099099099
Node 40,Node 41,0.02224099099099099
Node 39,Node 40,0.02224099099099099
Diutina rugosa,Node 39, 
Lodderomyces elongisporus,Node 39, 
Metschnikowia pulcherrima,Node 40, 
Candida parapsilosis,Node 41, 
Spathaspora passalidarum,Node 43, 
Node 52,Node 53,0.020402755696873342
Node 51,Node 52,0.020402755696873342
Node 47,Node 51,0.020402755696873342
Candida psychrophila,Node 47, 
Node 46,Node 47,0.020402755696873342
Candida multigemmis,Node 46, 
Node 45,Node 46,0.020402755696873342
Node 44,Node 45,0.020402755696873342
Candida quercitrusa,Node 44, 
Candida natalensis,Node 44, 
Candida sophiae reginae,Node 45, 
Node 50,Node 51,0.020402755696873342
Candida sake,Node 50, 
Node 49,Node 50,0.020402755696873342
Node 48,Node 49,0.020402755696873342
Candida lyxosophila,Node 48, 
Candida jeffriesii,Node 48, 
Candida insectamans,Node 49, 
