name,parent,score
Node 11, , 
Outgroup,Node 11, 
Node 10,Node 11,0.1411764705882353
Node 9,Node 10,0.1411764705882353
Node 5,Node 9,0.1411764705882353
Node 2,Node 5,0.0
Node 1,Node 2,0.1411764705882353
Episiphon yamakawai,Node 1, 
Dentalium octangulatum,Node 1, 
Fustiaria rubescens,Node 2, 
Node 4,Node 5,0.10784313725490195
Node 3,Node 4,0.1411764705882353
Antalis entalis,Node 3, 
Dentalium pilsbryi,Node 3, 
Rhabdus rectius,Node 4, 
Node 8,Node 9,0.1411764705882353
Node 7,Node 8,0.0320855614973262
Entalina tetragona,Node 7, 
Node 6,Node 7,0.10784313725490195
Pulsellum affine,Node 6, 
Cadulus subfusiformis,Node 6, 
Siphonodentalium lobatum,Node 8, 
Graptacme eborea,Node 10, 
Antalis vulgaris,Node 11, 
