name,parent,score
Node 13, , 
Outgroup,Node 13, 
Node 12,Node 13,0.9696969696969697
Node 4,Node 12,0.9696969696969697
Node 3,Node 4,0.2196969696969697
Node 2,Node 3,0.30303030303030304
Depastromorpha africana,Node 2, 
Node 1,Node 2,0.13636363636363635
Haliclystus octoradiatus,Node 1, 
Haliclystus sanjuanensis,Node 1, 
Lucernaria janetae,Node 3, 
Craterolophus convolvulus,Node 4, 
Node 11,Node 12,0.06969696969696969
Node 9,Node 11,0.05303030303030303
Chrysaora melanaster,Node 9, 
Node 8,Node 9,0.013175230566534914
Node 7,Node 8,0.009696969696969697
Node 6,Node 7,0.06060606060606061
Node 5,Node 6,0.05303030303030303
Stomolophus meleagris,Node 5, 
Cotylorhiza tuberculata,Node 5, 
Cassiopea xamachana,Node 6, 
Phacellophora camtschatica,Node 7, 
Aurelia aurita,Node 8, 
Node 10,Node 11,0.017316017316017316
Atolla vanhoeffeni,Node 10, 
Nausithoe rubra,Node 10, 
Cyanea capillata,Node 13, 
