name,parent,score
Node 85, , 
Outgroup,Node 85, 
Node 74,Node 85,0.028571428571428574
Node 73,Node 74,0.01948051948051948
Node 39,Node 73,0.01948051948051948
Node 7,Node 39,0.011904761904761904
Node 5,Node 7,0.005494505494505495
Node 4,Node 5,0.011904761904761904
Node 2,Node 4,0.011904761904761904
Sphagnum perichaetiale,Node 2, 
Node 1,Node 2,0.011904761904761904
Sphagnum portoricense,Node 1, 
Sphagnum palustre,Node 1, 
Node 3,Node 4,0.011904761904761904
Sphagnum affine,Node 3, 
Sphagnum steerei,Node 3, 
Sphagnum compactum,Node 5, 
Node 6,Node 7,0.011904761904761904
Sphagnum cuspidatulum,Node 6, 
Sphagnum pulchrum,Node 6, 
Sphagnum angustifolium,Node 6, 
Sphagnum recurvum,Node 6, 
Node 38,Node 39,0.01948051948051948
Node 37,Node 38,0.011904761904761904
Node 36,Node 37,0.011904761904761904
Node 34,Node 36,0.011904761904761904
Sphagnum limbatum,Node 34, 
Node 33,Node 34,0.011904761904761904
Node 32,Node 33,0.011904761904761904
Node 31,Node 32,0.011904761904761904
Node 13,Node 31,0.005494505494505495
Node 12,Node 13,0.011904761904761904
Sphagnum russowii,Node 12, 
Node 11,Node 12,0.011904761904761904
Node 9,Node 11,0.028571428571428574
Sphagnum andersonianum,Node 9, 
Node 8,Node 9,0.028571428571428574
Sphagnum capillifolium,Node 8, 
Sphagnum subtile,Node 8, 
Node 10,Node 11,0.028571428571428574
Sphagnum bartlettianum,Node 10, 
Sphagnum rubellum,Node 10, 
Sphagnum tenerum,Node 13, 
Node 30,Node 31,0.011904761904761904
Node 27,Node 30,0.011904761904761904
Node 21,Node 27,0.011904761904761904
Node 17,Node 21,0.01948051948051948
Node 16,Node 17,0.028571428571428574
Node 15,Node 16,0.028571428571428574
Node 14,Node 15,0.028571428571428574
Sphagnum girgensohnii,Node 14, 
Sphagnum wulfianum,Node 14, 
Sphagnum fimbriatum,Node 15, 
Sphagnum rubiginosum,Node 16, 
Sphagnum squarrosum,Node 17, 
Node 20,Node 21,0.005494505494505495
Node 18,Node 20,0.005494505494505495
Sphagnum teres,Node 18, 
Sphagnum aongstroemii,Node 18, 
Node 19,Node 20,0.028571428571428574
Sphagnum angermanicum,Node 19, 
Sphagnum molle,Node 19, 
Node 26,Node 27,0.005494505494505495
Node 24,Node 26,0.011904761904761904
Node 22,Node 24,0.01948051948051948
Sphagnum oxyphyllum,Node 22, 
Sphagnum flavicomans,Node 22, 
Node 23,Node 24,0.01948051948051948
Sphagnum subnitens,Node 23, 
Sphagnum subfulvum,Node 23, 
Node 25,Node 26,0.028571428571428574
Sphagnum arcticum,Node 25, 
Sphagnum olafii,Node 25, 
Node 29,Node 30,0.01948051948051948
Node 28,Node 29,0.01948051948051948
Sphagnum warnstorfii,Node 28, 
Sphagnum fuscum,Node 28, 
Sphagnum skyense,Node 29, 
Sphagnum laxirameum,Node 32, 
Sphagnum azuayense,Node 33, 
Node 35,Node 36,0.028571428571428574
Sphagnum sparsum,Node 35, 
Sphagnum meridense,Node 35, 
Sphagnum austro americanum,Node 37, 
Sphagnum quinquefarium,Node 38, 
Node 72,Node 73,0.01948051948051948
Node 42,Node 72,0.011904761904761904
Node 41,Node 42,0.011904761904761904
Sphagnum macrophyllum,Node 41, 
Node 40,Node 41,0.011904761904761904
Sphagnum pylaesii,Node 40, 
Sphagnum cyclophyllum,Node 40, 
Sphagnum contortum,Node 42, 
Node 71,Node 72,0.01948051948051948
Node 70,Node 71,0.01948051948051948
Node 64,Node 70,0.011904761904761904
Node 47,Node 64,0.011904761904761904
Node 45,Node 47,0.011904761904761904
Node 44,Node 45,0.005494505494505495
Node 43,Node 44,0.01948051948051948
Sphagnum auriculatum,Node 43, 
Sphagnum subsecundum,Node 43, 
Sphagnum lescurii,Node 44, 
Sphagnum inundatum,Node 45, 
Node 46,Node 47,0.011904761904761904
Sphagnum trirameum,Node 46, 
Sphagnum carolinianum,Node 46, 
Node 63,Node 64,0.01948051948051948
Node 61,Node 63,0.01948051948051948
Node 60,Node 61,0.01948051948051948
Node 57,Node 60,0.01948051948051948
Node 56,Node 57,0.01948051948051948
Node 51,Node 56,0.01948051948051948
Node 50,Node 51,0.01948051948051948
Sphagnum bordasii,Node 50, 
Node 49,Node 50,0.01948051948051948
Node 48,Node 49,0.01948051948051948
Sphagnum africanum,Node 48, 
Sphagnum truncatum,Node 48, 
Sphagnum uleanum,Node 49, 
Sphagnum acutirameum,Node 51, 
Node 55,Node 56,0.01948051948051948
Node 52,Node 55,0.01948051948051948
Sphagnum boliviae,Node 52, 
Sphagnum exquisitum,Node 52, 
Node 54,Node 55,0.01948051948051948
Sphagnum crumii,Node 54, 
Node 53,Node 54,0.01948051948051948
Sphagnum noryungasense,Node 53, 
Sphagnum geraisense,Node 53, 
Sphagnum longicomosum,Node 57, 
Node 59,Node 60,0.01948051948051948
Node 58,Node 59,0.01948051948051948
Sphagnum platyphylloides,Node 58, 
Sphagnum leonii,Node 58, 
Sphagnum liesneri,Node 59, 
Sphagnum rotundatum,Node 61, 
Node 62,Node 63,0.01948051948051948
Sphagnum slooveri,Node 62, 
Sphagnum planifolium,Node 62, 
Node 69,Node 70,0.005494505494505495
Node 68,Node 69,0.005494505494505495
Node 66,Node 68,0.01948051948051948
Sphagnum davidii,Node 66, 
Node 65,Node 66,0.01948051948051948
Sphagnum capense,Node 65, 
Sphagnum pycnocladulum,Node 65, 
Node 67,Node 68,0.005494505494505495
Sphagnum cymbifolioides,Node 67, 
Sphagnum novo zelandicum,Node 67, 
Sphagnum sonsonense,Node 69, 
Sphagnum guwassanense,Node 71, 
Sphagnum strictum,Node 74, 
Node 84,Node 85,0.005494505494505495
Sphagnum perfoliatum,Node 84, 
Node 83,Node 84,0.005494505494505495
Node 82,Node 83,0.01948051948051948
Sphagnum khasianum,Node 82, 
Node 81,Node 82,0.01948051948051948
Node 80,Node 81,0.01948051948051948
Node 77,Node 80,0.011904761904761904
Node 76,Node 77,0.011904761904761904
Node 75,Node 76,0.01948051948051948
Sphagnum platyphyllum,Node 75, 
Sphagnum calymmatophyllum,Node 75, 
Sphagnum orientale,Node 76, 
Sphagnum microporum,Node 77, 
Node 79,Node 80,0.01948051948051948
Sphagnum cuspidatum,Node 79, 
Node 78,Node 79,0.01948051948051948
Sphagnum lapazense,Node 78, 
Ambuchanania leucobryoides,Node 78, 
Sphagnum fallax,Node 81, 
Flatbergium sericeum,Node 83, 
