name,parent,score
Node 36, , 
Outgroup,Node 36, 
Node 35,Node 36,0.25
Node 34,Node 35,0.25
Node 31,Node 34,0.9230769230769231
Node 30,Node 31,0.4230769230769231
Node 10,Node 30,0.4230769230769231
Node 7,Node 10,0.17307692307692307
Node 5,Node 7,0.17307692307692307
Node 1,Node 5,0.08974358974358974
Spirochaeta asiatica,Node 1, 
Spirochaeta africana,Node 1, 
Node 4,Node 5,0.12307692307692308
Node 3,Node 4,0.9230769230769231
Treponema caldarium,Node 3, 
Node 2,Node 3,0.9230769230769231
Sediminispirochaeta bajacaliforniensis,Node 2, 
Sediminispirochaeta smaragdinae,Node 2, 
Spirochaeta thermophila,Node 4, 
Node 6,Node 7,0.9230769230769231
Spirochaeta litoralis,Node 6, 
Spirochaeta isovalerica,Node 6, 
Node 9,Node 10,0.25641025641025644
Node 8,Node 9,0.25641025641025644
Spirochaeta alkalica,Node 8, 
Spirochaeta americana,Node 8, 
Spirochaeta halophila,Node 9, 
Node 29,Node 30,0.25641025641025644
Node 25,Node 29,0.06593406593406594
Node 24,Node 25,0.25641025641025644
Node 23,Node 24,0.17307692307692307
Node 22,Node 23,0.25641025641025644
Node 21,Node 22,0.4230769230769231
Node 20,Node 21,0.4230769230769231
Node 17,Node 20,0.4230769230769231
Node 16,Node 17,0.4230769230769231
Node 14,Node 16,0.4230769230769231
Node 13,Node 14,0.9230769230769231
Node 12,Node 13,0.9230769230769231
Leptospira wolbachii,Node 12, 
Node 11,Node 12,0.9230769230769231
Leptospira noguchii,Node 11, 
Leptospira wolffii,Node 11, 
Brachyspira murdochii,Node 13, 
Borreliella garinii,Node 14, 
Node 15,Node 16,0.9230769230769231
Borreliella japonica,Node 15, 
Borreliella lusitaniae,Node 15, 
Borreliella valaisiana,Node 17, 
Node 19,Node 20,0.4230769230769231
Node 18,Node 19,0.4230769230769231
Borreliella afzelii,Node 18, 
Borreliella burgdorferi,Node 18, 
Borreliella californiensis,Node 19, 
Borrelia hermsii,Node 21, 
Treponema pallidum,Node 22, 
Brachyspira hyodysenteriae,Node 23, 
Treponema denticola,Node 24, 
Turneriella parva,Node 25, 
Node 28,Node 29,0.25641025641025644
Node 27,Node 28,0.25641025641025644
Node 26,Node 27,0.17307692307692307
Leptospira biflexa,Node 26, 
Leptospira meyeri,Node 26, 
Leptospira interrogans,Node 27, 
Leptonema illini,Node 28, 
Treponema stenostreptum,Node 31, 
Node 33,Node 34,0.9230769230769231
Node 32,Node 33,0.9230769230769231
Leptospira broomii,Node 32, 
Leptospira fainei,Node 32, 
Leptospira inadai,Node 33, 
Leptospira kirschneri,Node 35, 
Leptospira santarosai,Node 36, 
