name,parent,score
Node 19, , 
Outgroup,Node 19, 
Node 18,Node 19,0.25
Node 17,Node 18,0.25
Node 14,Node 17,0.6666666666666666
Node 13,Node 14,0.16666666666666666
Node 1,Node 13,0.6666666666666666
Synura glabra,Node 1, 
Synura petersenii,Node 1, 
Node 12,Node 13,0.16666666666666666
Node 9,Node 12,0.6666666666666666
Node 6,Node 9,0.16666666666666666
Node 5,Node 6,0.6666666666666666
Node 4,Node 5,0.6666666666666666
Node 2,Node 4,0.25
Mallomonas matvienkoae,Node 2, 
Mallomonas caudata,Node 2, 
Node 3,Node 4,0.25
Mallomonas splendens,Node 3, 
Mallomonas adamas,Node 3, 
Mallomonas annulata,Node 5, 
Mallomonas akrokomos,Node 6, 
Node 8,Node 9,0.6666666666666666
Node 7,Node 8,0.25
Mallomonas rasilis,Node 7, 
Mallomonas papillosa,Node 7, 
Mallomonas striata,Node 8, 
Node 11,Node 12,0.16666666666666666
Synura sphagnicola,Node 11, 
Node 10,Node 11,0.16666666666666666
Synura mammillosa,Node 10, 
Synura spinosa,Node 10, 
Synura uvella,Node 14, 
Node 16,Node 17,0.6666666666666666
Node 15,Node 16,0.25
Poterioochromonas malhamensis,Node 15, 
Poterioochromonas stipitata,Node 15, 
Tessellaria volvocina,Node 16, 
Chlamydomyxa labyrinthuloides,Node 18, 
Mallomonas asmundae,Node 19, 
