name,parent,score
Node 9, , 
Outgroup,Node 9, 
Node 8,Node 9,0.125
Node 7,Node 8,0.125
Node 6,Node 7,0.125
Node 5,Node 6,0.125
Node 3,Node 5,0.125
Node 2,Node 3,0.017857142857142856
Taphrina virginica,Node 2, 
Node 1,Node 2,0.017857142857142856
Taphrina populina,Node 1, 
Taphrina deformans,Node 1, 
Taphrina wiesneri,Node 3, 
Node 4,Node 5,0.075
Protomyces inouyei,Node 4, 
Protomyces gravidus,Node 4, 
Taphrina californica,Node 6, 
Taphrina communis,Node 7, 
Taphrina caerulescens,Node 8, 
Taphrina pruni,Node 9, 
