name,parent,score
Node 13, , 
Outgroup,Node 13, 
Node 12,Node 13,0.19047619047619047
Node 5,Node 12,0.19047619047619047
Thermococcus barophilus,Node 5, 
Node 4,Node 5,0.19047619047619047
Node 3,Node 4,0.05714285714285715
Node 2,Node 3,0.05714285714285715
Node 1,Node 2,0.023809523809523808
Pyrococcus horikoshii,Node 1, 
Thermococcus gammatolerans,Node 1, 
Thermococcus kodakarensis,Node 2, 
Pyrococcus abyssi,Node 3, 
Pyrococcus furiosus,Node 4, 
Node 11,Node 12,0.05714285714285715
Node 6,Node 11,0.19047619047619047
Thermococcus fumicolans,Node 6, 
Thermococcus peptonophilus,Node 6, 
Node 10,Node 11,0.05714285714285715
Node 8,Node 10,0.10714285714285714
Thermococcus hydrothermalis,Node 8, 
Node 7,Node 8,0.05714285714285715
Thermococcus marinus,Node 7, 
Thermococcus zilligii,Node 7, 
Node 9,Node 10,0.19047619047619047
Thermococcus litoralis,Node 9, 
Thermococcus aggregans,Node 9, 
Thermococcus sibiricus,Node 13, 
