name,parent,score
Node 21, , 
Outgroup,Node 21, 
Node 20,Node 21,0.25
Caldisphaera lagunensis,Node 20, 
Node 19,Node 20,0.25
Node 18,Node 19,0.4090909090909091
Node 17,Node 18,0.4090909090909091
Node 16,Node 17,0.4090909090909091
Node 15,Node 16,0.2424242424242424
Node 13,Node 15,0.1590909090909091
Node 5,Node 13,0.2424242424242424
Node 4,Node 5,0.10909090909090909
Node 3,Node 4,0.07575757575757576
Metallosphaera sedula,Node 3, 
Node 2,Node 3,0.07575757575757576
Node 1,Node 2,0.07575757575757576
Sulfolobus acidocaldarius,Node 1, 
Sulfolobus islandicus,Node 1, 
Sulfolobus tokodaii,Node 2, 
Sulfolobus tengchongensis,Node 4, 
Desulfurococcus mobilis,Node 5, 
Node 12,Node 13,0.10909090909090909
Node 7,Node 12,0.2424242424242424
Node 6,Node 7,0.2424242424242424
Staphylothermus marinus,Node 6, 
Hyperthermus butylicus,Node 6, 
Aeropyrum pernix,Node 7, 
Node 11,Node 12,0.4090909090909091
Caldivirga maquilingensis,Node 11, 
Node 10,Node 11,0.9090909090909091
Node 9,Node 10,0.2424242424242424
Node 8,Node 9,0.9090909090909091
Pyrobaculum islandicum,Node 8, 
Pyrobaculum calidifontis,Node 8, 
Pyrobaculum arsenaticum,Node 9, 
Pyrobaculum neutrophilum,Node 10, 
Node 14,Node 15,0.4090909090909091
Pyrobaculum aerophilum,Node 14, 
Vulcanisaeta distributa,Node 14, 
Sulfophobococcus zilligii,Node 16, 
Pyrodictium occultum,Node 17, 
Caldococcus noboribetus,Node 18, 
Thermofilum pendens,Node 19, 
Ignisphaera aggregans,Node 21, 
