name,parent,score
Node 11, , 
Outgroup,Node 11, 
Node 10,Node 11,0.25
Node 9,Node 10,0.25
Node 7,Node 9,0.25
Node 6,Node 7,0.8571428571428571
Node 3,Node 6,0.10714285714285714
Node 2,Node 3,0.05714285714285715
Node 1,Node 2,0.05714285714285715
Thermotoga petrophila,Node 1, 
Thermotoga maritima,Node 1, 
Pseudothermotoga lettingae,Node 2, 
Fervidobacterium islandicum,Node 3, 
Node 5,Node 6,0.8571428571428571
Node 4,Node 5,0.05714285714285715
Thermosipho melanesiensis,Node 4, 
Fervidobacterium nodosum,Node 4, 
Thermosipho africanus,Node 5, 
Petrotoga mobilis,Node 7, 
Node 8,Node 9,0.25
Geotoga petraea,Node 8, 
Geotoga subterranea,Node 8, 
Marinitoga piezophila,Node 10, 
Fervidobacterium pennivorans,Node 11, 
