name,parent,score
Node 103, , 
Outgroup,Node 103, 
Node 102,Node 103,0.25
Node 101,Node 102,0.9830508474576272
Node 100,Node 101,0.9830508474576272
Node 99,Node 100,0.9830508474576272
Node 98,Node 99,0.9830508474576272
Node 23,Node 98,0.06638418079096045
Node 17,Node 23,0.03568242640499554
Node 16,Node 17,0.02652910832719234
Node 11,Node 16,0.01638418079096045
Node 5,Node 11,0.004789977892409727
Node 4,Node 5,0.004789977892409727
Node 2,Node 4,0.005778120184899846
Node 1,Node 2,0.004327443202307969
Chlorella vulgaris,Node 1, 
Chlorella sorokiniana,Node 1, 
Chlorella lobophora,Node 2, 
Node 3,Node 4,0.09416195856873823
Didymogenes anomala,Node 3, 
Didymogenes palatina,Node 3, 
Micractinium belenophorum,Node 5, 
Node 10,Node 11,0.00936663693131133
Node 8,Node 10,0.007441091360066143
Node 7,Node 8,0.006860371267150929
Node 6,Node 7,0.008050847457627118
Parachlorella kessleri,Node 6, 
Parachlorella beijerinckii,Node 6, 
Dictyosphaerium ehrenbergianum,Node 7, 
Mucidosphaerium pulchellum,Node 8, 
Node 9,Node 10,0.06638418079096045
Closteriopsis acicularis,Node 9, 
Dicloster acuatus,Node 9, 
Node 15,Node 16,0.020087884494664154
Node 14,Node 15,0.02151238591916558
Node 13,Node 14,0.02151238591916558
Actinastrum hantzschii,Node 13, 
Node 12,Node 13,0.020087884494664154
Chlorella minutissima,Node 12, 
Picochlorum oklahomense,Node 12, 
Micractinium pusillum,Node 14, 
Picochlorum eukaryotum,Node 15, 
Catena viridis,Node 17, 
Node 22,Node 23,0.017533606078316773
Node 20,Node 22,0.028505392912172575
Nannochloris bacillaris,Node 20, 
Node 19,Node 20,0.028505392912172575
Node 18,Node 19,0.02652910832719234
Prototheca wickerhamii,Node 18, 
Auxenochlorella protothecoides,Node 18, 
Prototheca zopfii,Node 19, 
Node 21,Node 22,0.03066989507667474
Marvania coccoides,Node 21, 
Marvania geminata,Node 21, 
Node 97,Node 98,0.03066989507667474
Node 70,Node 97,0.03568242640499554
Node 28,Node 70,0.045550847457627115
Node 25,Node 28,0.045550847457627115
Node 24,Node 25,0.045550847457627115
Microthamnion kuetzingianum,Node 24, 
Fusochloris perforata,Node 24, 
Planctonema lauterbornii,Node 25, 
Node 27,Node 28,0.05447941888619855
Parietochloris alveolaris,Node 27, 
Node 26,Node 27,0.05447941888619855
Dictyochloropsis splendida,Node 26, 
Leptosira erumpens,Node 26, 
Node 69,Node 70,0.028505392912172575
Node 52,Node 69,0.024717514124293783
Node 46,Node 52,0.028505392912172575
Node 30,Node 46,0.05997392438070404
Node 29,Node 30,0.06638418079096045
Trebouxia higginsiae,Node 29, 
Trebouxia galapagensis,Node 29, 
Trebouxia corticola,Node 30, 
Node 45,Node 46,0.017533606078316773
Node 38,Node 45,0.03066989507667474
Node 31,Node 38,0.05447941888619855
Trebouxia potteri,Node 31, 
Trebouxia flava,Node 31, 
Node 37,Node 38,0.03305084745762712
Node 36,Node 37,0.03066989507667474
Trebouxia impressa,Node 36, 
Node 35,Node 36,0.028505392912172575
Node 34,Node 35,0.03066989507667474
Node 32,Node 34,0.04187437686939183
Trebouxia gigantea,Node 32, 
Trebouxia arboricola,Node 32, 
Node 33,Node 34,0.03568242640499554
Trebouxia jamesii,Node 33, 
Trebouxia usneae,Node 33, 
Trebouxia gelatinosa,Node 35, 
Trebouxia showmanii,Node 37, 
Node 44,Node 45,0.012462612163509473
Node 42,Node 44,0.01638418079096045
Trebouxia crenulata,Node 42, 
Node 41,Node 42,0.01530891197375615
Trebouxia aggregata,Node 41, 
Node 40,Node 41,0.04187437686939183
Node 39,Node 40,0.045550847457627115
Trebouxia incrustata,Node 39, 
Trebouxia asymmetrica,Node 39, 
Trebouxia decolorans,Node 40, 
Node 43,Node 44,0.038606403013182675
