name,parent,score
Node 185, , 
Outgroup,Node 185, 
Node 184,Node 185,0.008448540706605223
Node 183,Node 184,0.008448540706605223
Node 178,Node 183,0.00744047619047619
Node 177,Node 178,0.00744047619047619
Node 176,Node 177,0.00744047619047619
Node 175,Node 176,0.00744047619047619
Node 174,Node 175,0.00744047619047619
Node 160,Node 174,0.00744047619047619
Node 159,Node 160,0.00744047619047619
Bunodera sacculata,Node 159, 
Node 158,Node 159,0.00744047619047619
Node 29,Node 158,0.003968253968253968
Node 26,Node 29,0.003968253968253968
Node 21,Node 26,0.003968253968253968
Node 3,Node 21,0.0670995670995671
Zeylanurotrema spearei,Node 3, 
Node 2,Node 3,0.0670995670995671
Node 1,Node 2,0.0670995670995671
Leucochloridium perturbatum,Node 1, 
Urogonimus macrostomus,Node 1, 
Brachylaima thompsoni,Node 2, 
Node 20,Node 21,0.003968253968253968
Node 15,Node 20,0.003968253968253968
Node 6,Node 15,0.0670995670995671
Node 5,Node 6,0.0670995670995671
Node 4,Node 5,0.0670995670995671
Neoparacardicola nasonis,Node 4, 
Plethorchis acanthus,Node 4, 
Aporocotyle spinosicanalis,Node 5, 
Chimaerohemecus trondheimensis,Node 6, 
Node 14,Node 15,0.003968253968253968
Node 13,Node 14,0.0032175032175032177
Node 12,Node 13,0.0032175032175032177
Node 9,Node 12,0.05952380952380952
Node 8,Node 9,0.05952380952380952
Node 7,Node 8,0.0670995670995671
Dendritobilharzia pulverulenta,Node 7, 
Gigantobilharzia huronensis,Node 7, 
Bilharziella polonica,Node 8, 
Austrobilharzia terrigalensis,Node 9, 
Node 11,Node 12,0.002506265664160401
Schistosoma haematobium,Node 11, 
Node 10,Node 11,0.002506265664160401
Schistosoma japonicum,Node 10, 
Schistosoma mansoni,Node 10, 
Spirorchis scripta,Node 13, 
Trichobilharzia regenti,Node 14, 
Node 19,Node 20,0.0670995670995671
Node 16,Node 19,0.0670995670995671
Cardiocephaloides longicollis,Node 16, 
Ichthyocotylurus erraticus,Node 16, 
Node 18,Node 19,0.0670995670995671
Node 17,Node 18,0.0670995670995671
Alaria alata,Node 17, 
Diplostomum phoxini,Node 17, 
Apharyngostrigea cornu,Node 18, 
Node 25,Node 26,0.0670995670995671
Node 24,Node 25,0.0670995670995671
Cotylogaster basiri,Node 24, 
Node 23,Node 24,0.0670995670995671
Node 22,Node 23,0.0670995670995671
Aspidogaster conchicola,Node 22, 
Lobatostoma manteri,Node 22, 
Multicalyx elegans,Node 23, 
Rugogaster hydrolagi,Node 25, 
Node 28,Node 29,0.0670995670995671
Bivesicula fusiformis,Node 28, 
Node 27,Node 28,0.0670995670995671
Bivesicula claviformis,Node 27, 
Bivesicula unexpecta,Node 27, 
Node 157,Node 158,0.0670995670995671
Node 156,Node 157,0.0670995670995671
Node 154,Node 156,0.0670995670995671
Node 149,Node 154,0.0670995670995671
Node 141,Node 149,0.0670995670995671
Node 140,Node 141,0.0670995670995671
Node 133,Node 140,0.10119047619047619
Node 116,Node 133,0.0873015873015873
Node 111,Node 116,0.0873015873015873
Node 107,Node 111,0.0873015873015873
Node 89,Node 107,0.0761904761904762
Node 75,Node 89,0.0873015873015873
Node 45,Node 75,0.0670995670995671
Node 36,Node 45,0.0670995670995671
Node 30,Node 36,0.0670995670995671
Pachypsolus irroratus,Node 30, 
Tanaisia fedtschenkoi,Node 30, 
Node 35,Node 36,0.0670995670995671
Node 34,Node 35,0.0670995670995671
Deretrema nahaense,Node 34, 
Node 33,Node 34,0.0670995670995671
Node 32,Node 33,0.0670995670995671
Antorchis pomacanthi,Node 32, 
Node 31,Node 32,0.0670995670995671
Bacciger lesteri,Node 31, 
