name,parent,score
Node 85, , 
Outgroup,Node 85, 
Node 82,Node 85,0.21428571428571427
Node 81,Node 82,0.16428571428571428
Node 80,Node 81,0.16428571428571428
Node 79,Node 80,0.16428571428571428
Node 78,Node 79,0.16428571428571428
Node 64,Node 78,0.08928571428571429
Node 63,Node 64,0.10714285714285714
Node 51,Node 63,0.10714285714285714
Node 50,Node 51,0.10714285714285714
Node 48,Node 50,0.08928571428571429
Node 47,Node 48,0.08928571428571429
Node 46,Node 47,0.08928571428571429
Node 45,Node 46,0.0642857142857143
Node 44,Node 45,0.0642857142857143
Node 42,Node 44,0.0642857142857143
Node 41,Node 42,0.0642857142857143
Node 40,Node 41,0.0642857142857143
Node 39,Node 40,0.0642857142857143
Node 38,Node 39,0.0642857142857143
Node 36,Node 38,0.0642857142857143
Node 35,Node 36,0.0642857142857143
Node 31,Node 35,0.0642857142857143
Node 30,Node 31,0.0642857142857143
Node 29,Node 30,0.05519480519480519
Node 28,Node 29,0.05519480519480519
Node 27,Node 28,0.05519480519480519
Node 19,Node 27,0.047619047619047616
Node 17,Node 19,0.04120879120879121
Node 10,Node 17,0.019841269841269844
Node 4,Node 10,0.030952380952380953
Node 3,Node 4,0.030952380952380953
Node 2,Node 3,0.026785714285714284
Node 1,Node 2,0.026785714285714284
Tremella aurantia,Node 1, 
Tremella microspora,Node 1, 
Naematelia aurantialba,Node 2, 
Naematelia encephala,Node 3, 
Tremella exigua,Node 4, 
Node 9,Node 10,0.03571428571428571
Node 6,Node 9,0.03571428571428571
Node 5,Node 6,0.030952380952380953
Tremella indecorata,Node 5, 
Pseudotremella nivalis,Node 5, 
Pseudotremella moriformis,Node 6, 
Node 8,Node 9,0.05519480519480519
Node 7,Node 8,0.05519480519480519
Papiliotrema flavescens,Node 7, 
Papiliotrema pseudoalba,Node 7, 
Papiliotrema bandonii,Node 8, 
Node 16,Node 17,0.03571428571428571
Node 15,Node 16,0.030952380952380953
Node 14,Node 15,0.026785714285714284
Node 11,Node 14,0.04120879120879121
Tremella brasiliensis,Node 11, 
Tremella mesenterica,Node 11, 
Node 13,Node 14,0.030952380952380953
Node 12,Node 13,0.030952380952380953
Tremella fuciformis,Node 12, 
Tremella flava,Node 12, 
Tremella cinnabarina,Node 13, 
Tremella taiwanensis,Node 15, 
Tremella globispora,Node 16, 
Node 18,Node 19,0.05519480519480519
Kockovaella thailandica,Node 18, 
Fellomyces polyborus,Node 18, 
Node 26,Node 27,0.07539682539682539
Node 25,Node 26,0.07539682539682539
Node 24,Node 25,0.047619047619047616
Node 23,Node 24,0.047619047619047616
Node 20,Node 23,0.08928571428571429
Phaeotremella mycophaga,Node 20, 
Phaeotremella pseudofoliacea,Node 20, 
Node 22,Node 23,0.030952380952380953
Fibulobasidium inconspicuum,Node 22, 
Node 21,Node 22,0.05519480519480519
Fibulobasidium murrhardtense,Node 21, 
Fibulobasidium sirobasidioides,Node 21, 
Phaeotremella neofoliacea,Node 24, 
Sirobasidium magnum,Node 25, 
Sterigmatosporidium polymorphum,Node 26, 
Cryptococcus depauperatus,Node 28, 
Trimorphomyces papilionaceus,Node 29, 
Derxomyces mrakii,Node 30, 
Vishniacozyma tephrensis,Node 31, 
Node 34,Node 35,0.05519480519480519
Cryptococcus neoformans,Node 34, 
Node 33,Node 34,0.05519480519480519
Node 32,Node 33,0.05519480519480519
Dioszegia crocea,Node 32, 
Dioszegia hungarica,Node 32, 
Hannaella oryzae,Node 33, 
Kockovaella mexicana,Node 36, 
Node 37,Node 38,0.047619047619047616
Vishniacozyma dimennae,Node 37, 
Vishniacozyma taibaiensis,Node 37, 
Hannaella sinensis,Node 39, 
Sugitazyma miyagiana,Node 40, 
Papiliotrema fuscus,Node 41, 
Papiliotrema rajasthanensis,Node 42, 
Node 43,Node 44,0.05519480519480519
Saitozyma flava,Node 43, 
Bulleribasidium oberjochense,Node 43, 
Bullera unica,Node 45, 
Papiliotrema laurentii,Node 46, 
Apiotrichum gracile,Node 47, 
Apiotrichum dulcitum,Node 48, 
Node 49,Node 50,0.0642857142857143
Trichosporon ovoides,Node 49, 
Vanrija humicola,Node 49, 
Apiotrichum lignicola,Node 51, 
Node 62,Node 63,0.05519480519480519
Node 54,Node 62,0.04120879120879121
Naganishia albidosimilis,Node 54, 
Node 53,Node 54,0.03571428571428571
Node 52,Node 53,0.04120879120879121
Filobasidium globisporum,Node 52, 
Piskurozyma capsuligena,Node 52, 
Naganishia liquefaciens,Node 53, 
Node 61,Node 62,0.030952380952380953
Node 60,Node 61,0.03571428571428571
Node 59,Node 60,0.04120879120879121
Node 58,Node 59,0.047619047619047616
Node 57,Node 58,0.05519480519480519
Node 56,Node 57,0.047619047619047616
Cryptococcus consortionis,Node 56, 
Node 55,Node 56,0.047619047619047616
Naganishia albida,Node 55, 
Naganishia vishniacii,Node 55, 
Naganishia bhutanensis,Node 57, 
Naganishia antarctica,Node 57, 
Filobasidium floriforme,Node 57, 
Piskurozyma silvicola,Node 58, 
Solicoccozyma terricola,Node 58, 
Goffeauzyma gastrica,Node 59, 
Filobasidium uniguttulatum,Node 60, 
Filobasidium magnum,Node 61, 
Mrakia niccombsii,Node 64, 
Node 77,Node 78,0.07539682539682539
Node 76,Node 77,0.0642857142857143
Node 75,Node 76,0.0642857142857143
Node 73,Node 75,0.047619047619047616
Cystofilobasidium capitatum,Node 73, 
Node 72,Node 73,0.047619047619047616
Mrakia frigida,Node 72, 
Node 71,Node 72,0.047619047619047616
Node 70,Node 71,0.04120879120879121
Node 69,Node 70,0.047619047619047616
Node 68,Node 69,0.047619047619047616
Node 67,Node 68,0.05519480519480519
Node 65,Node 67,0.05519480519480519
Mrakia robertii,Node 65, 
Mrakia blollopis,Node 65, 
Node 66,Node 67,0.0642857142857143
Tausonia pullulans,Node 66, 
Cystofilobasidium macerans,Node 66, 
Cystofilobasidium infirmominiatum,Node 68, 
Cystofilobasidium lari marini,Node 69, 
Itersonilia perplexans,Node 70, 
Udeniomyces puniceus,Node 71, 
Node 74,Node 75,0.05519480519480519
Cystofilobasidium ferigula,Node 74, 
Cystofilobasidium bisporidii,Node 74, 
Xanthophyllomyces dendrorhous,Node 76, 
Phaffia rhodozyma,Node 77, 
Trichosporon asahii,Node 79, 
Cutaneotrichosporon curvatus,Node 80, 
Cutaneotrichosporon mucoides,Node 81, 
Trichosporon inkin,Node 82, 
Node 84,Node 85,0.07539682539682539
Cutaneotrichosporon dermatis,Node 84, 
Node 83,Node 84,0.07539682539682539
Apiotrichum sporotrichoides,Node 83, 
Cutaneotrichosporon guehoae,Node 83, 
