name,parent,score
Node 45, , 
Outgroup,Node 45, 
Node 44,Node 45,0.25
Desmidium swartzii,Node 44, 
Node 43,Node 44,0.25
Node 42,Node 43,0.8888888888888888
Node 41,Node 42,0.8888888888888888
Node 40,Node 41,0.8888888888888888
Node 39,Node 40,0.3888888888888889
Node 33,Node 39,0.3888888888888889
Node 32,Node 33,0.1388888888888889
Node 1,Node 32,0.3888888888888889
Netrium oblongum,Node 1, 
Netrium digitus,Node 1, 
Node 31,Node 32,0.2222222222222222
Node 28,Node 31,0.1388888888888889
Node 27,Node 28,0.1388888888888889
Node 26,Node 27,0.2222222222222222
Node 19,Node 26,0.3888888888888889
Node 2,Node 19,0.8888888888888888
Closterium navicula,Node 2, 
Closterium lunula,Node 2, 
Node 18,Node 19,0.3888888888888889
Node 17,Node 18,0.3888888888888889
Node 14,Node 17,0.8888888888888888
Node 12,Node 14,0.8888888888888888
Node 11,Node 12,0.8888888888888888
Node 5,Node 11,0.8888888888888888
Node 3,Node 5,0.25
Spondylosium planum,Node 3, 
Staurodesmus triangularis,Node 3, 
Node 4,Node 5,0.8888888888888888
Staurastrum orbiculare,Node 4, 
Cosmarium granatum,Node 4, 
Node 10,Node 11,0.8888888888888888
Node 9,Node 10,0.8888888888888888
Node 7,Node 9,0.8888888888888888
Node 6,Node 7,0.8888888888888888
Staurastrum lunatum,Node 6, 
Micrasterias thomasiana,Node 6, 
Euastrum affine,Node 7, 
Node 8,Node 9,0.25
Xanthidium subhastiferum,Node 8, 
Staurodesmus convergens,Node 8, 
Cosmarium punctulatum,Node 10, 
Cosmarium tinctum,Node 12, 
Node 13,Node 14,0.25
Actinotaenium phymatosporum,Node 13, 
Cosmarium reniforme,Node 13, 
Node 16,Node 17,0.8888888888888888
Node 15,Node 16,0.8888888888888888
Penium polymorphum,Node 15, 
Penium cylindrus,Node 15, 
Actinotaenium cruciferum,Node 16, 
Penium margaritaceum,Node 18, 
Node 25,Node 26,0.2222222222222222
Node 23,Node 25,0.1388888888888889
Node 22,Node 23,0.1388888888888889
Node 21,Node 22,0.1388888888888889
Node 20,Node 21,0.2222222222222222
Cosmarium botrytis,Node 20, 
Closterium ehrenbergii,Node 20, 
Zygnema cylindricum,Node 21, 
Gonatozygon kinahani,Node 22, 
Closterium selenastrum,Node 23, 
Node 24,Node 25,0.25
Gonatozygon brebissonii,Node 24, 
Gonatozygon monotaenium,Node 24, 
Spirogyra pratensis,Node 27, 
Micrasterias foliacea,Node 28, 
Node 30,Node 31,0.2222222222222222
Node 29,Node 30,0.1388888888888889
Roya obtusa,Node 29, 
Roya anglica,Node 29, 
Staurastrum punctulatum,Node 30, 
Spirogyra maxima,Node 33, 
Node 38,Node 39,0.2222222222222222
Node 37,Node 38,0.3888888888888889
Node 36,Node 37,0.3888888888888889
Mesotaenium caldariorum,Node 36, 
Node 35,Node 36,0.3888888888888889
Node 34,Node 35,0.3888888888888889
Cylindrocystis brebissonii,Node 34, 
Cylindrocystis crassa,Node 34, 
Mesotaenium kramstae,Node 35, 
Zygogonium tunetanum,Node 37, 
Zygnema circumcarinatum,Node 38, 
Mesotaenium endlicherianum,Node 40, 
Entransia fimbriata,Node 41, 
Desmidium baileyi,Node 42, 
Mougeotia scalaris,Node 43, 
Micrasterias truncata,Node 45, 
