Year	Continuous (total characters)	Continuous (average characters)	Continuous (total taxa)	Continuous (average taxa)	DNA (total characters)	DNA (average characters)	DNA (total taxa)	DNA (average taxa)	Protein (total characters)	Protein (average characters)	Protein (total taxa)	Protein (average taxa)	Standard (total characters)	Standard (average characters)	Standard (total taxa)	Standard (average taxa)
1981	0	0	0	0	0	0	0	0	0	0	0	0	40	20	22	11
1982	0	0	0	0	0	0	0	0	0	0	0	0	48	48	25	25
1983	0	0	0	0	0	0	0	0	0	0	0	0	66	22	48	16
1984	0	0	0	0	0	0	0	0	0	0	0	0	256	85.3333333333333	62	20.6666666666667
1985	0	0	0	0	0	0	0	0	0	0	0	0	593	53.9090909090909	220	20
1986	0	0	0	0	0	0	0	0	0	0	0	0	345	21.5625	212	13.25
1987	0	0	0	0	0	0	0	0	0	0	0	0	223	24.7777777777778	452	50.2222222222222
1988	0	0	0	0	1044	348	27	9	0	0	0	0	944	72.6153846153846	268	20.6153846153846
1989	0	0	0	0	0	0	0	0	0	0	0	0	1115	44.6	924	36.96
1990	0	0	0	0	3435	1717.5	31	15.5	261	130.5	53	26.5	1296	35.027027027027	685	18.5135135135135
1991	0	0	0	0	154	154	19	19	0	0	0	0	2707	52.0576923076923	1523	29.2884615384615
1992	0	0	0	0	3045	761.25	105	26.25	238	238	35	35	1261	70.0555555555556	604	33.5555555555556
1993	0	0	0	0	986	328.666666666667	37	12.3333333333333	0	0	0	0	1534	61.36	763	30.52
1994	0	0	0	0	1972	394.4	98	19.6	0	0	0	0	1767	70.68	956	38.24
1995	0	0	0	0	4181	836.2	137	27.4	0	0	0	0	2438	81.2666666666667	954	31.8
1996	0	0	0	0	8549	1424.83333333333	190	31.6666666666667	0	0	0	0	1636	148.727272727273	386	35.0909090909091
1997	0	0	0	0	30258	775.846153846154	966	24.7692307692308	0	0	0	0	4790	217.727272727273	968	44
1998	0	0	0	0	47118	1239.94736842105	1059	27.8684210526316	0	0	0	0	15088	538.857142857143	862	30.7857142857143
1999	0	0	0	0	115137	1265.24175824176	3241	35.6153846153846	0	0	0	0	10606	286.648648648649	1435	38.7837837837838
2000	0	0	0	0	134014	1165.33913043478	3609	31.3826086956522	807	269	143	47.6666666666667	14609	768.894736842105	774	40.7368421052632
2001	0	0	0	0	250122	1302.71875	7679	39.9947916666667	28250	4708.33333333333	145	24.1666666666667	33882	1026.72727272727	1483	44.9393939393939
2002	0	0	0	0	188715	1225.42207792208	6279	40.7727272727273	12191	4063.66666666667	122	40.6666666666667	17422	497.771428571429	1826	52.1714285714286
2003	0	0	0	0	335879	1399.49583333333	10541	43.9208333333333	19262	642.066666666667	570	19	46459	1106.16666666667	2438	58.0476190476191
2004	0	0	0	0	616889	1694.75	17066	46.8846153846154	2957	295.7	322	32.2	54211	1003.90740740741	3687	68.2777777777778
2005	0	0	0	0	428126	1621.68939393939	11802	44.7045454545455	53668	4878.90909090909	312	28.3636363636364	60339	1022.69491525424	3315	56.1864406779661
2006	0	0	0	0	773348	2008.6961038961	21598	56.0987012987013	36901	2170.64705882353	553	32.5294117647059	96056	1104.09195402299	4171	47.9425287356322
2007	0	0	0	0	987850	2190.35476718404	24497	54.3170731707317	41523	4613.66666666667	352	39.1111111111111	46626	1036.13333333333	2397	53.2666666666667
2008	0	0	0	0	1050657	2076.39723320158	31394	62.0434782608696	110049	7860.64285714286	825	58.9285714285714	88456	1245.85915492958	5306	74.7323943661972
2009	24	24	35	35	786911	2451.43613707165	25476	79.3644859813084	98858	5492.11111111111	1435	79.7222222222222	105890	1393.28947368421	5464	71.8947368421053
2010	0	0	0	0	1850375	2620.92776203966	44016	62.3456090651558	597536	12713.5319148936	5891	125.340425531915	77498	484.3625	11401	71.25625
2011	180	90	139	69.5	2015615	2895.99856321839	65398	93.9626436781609	179788	6914.92307692308	2022	77.7692307692308	33654	333.207920792079	5947	58.8811881188119
2012	74	12.3333333333333	241	40.1666666666667	1776688	2639.95245170877	47863	71.1188707280832	211834	6052.4	2777	79.3428571428571	126547	1687.29333333333	5608	74.7733333333333
2013	0	0	0	0	278323	2358.66949152542	8437	71.5	11325	3775	80	26.6666666666667	1125	281.25	305	76.25
