prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	621	71				
2010	DNA	893	73				
2010	DNA	906	70				
2010				73	Unrated	Single	Species Tree
2010				73	Unrated	Single	Species Tree
2010				71	Unrated	Single	Species Tree
2010				70	Unrated	Single	Species Tree
2010				70	Unrated	Consensus	Species Tree
2010				73	Unrated	Consensus	Species Tree
2010				70	Unrated	Single	Species Tree
2010				71	Unrated	Consensus	Species Tree
2010				71	Unrated	Single	Species Tree
2009	DNA	4062	92				
2009				92	Unrated	Single	Species Tree
2009	DNA	803	75				
2009				75	Unrated	Single	Species Tree
2009	DNA	1229	33				
2009				33	Unrated	Consensus	Species Tree
2009	Standard	6756	27				
2009				27	Unrated	Consensus	Species Tree
2001	DNA	966	90				
2001				90	Unrated	Single	Species Tree
2001				90	Unrated	Single	Species Tree
2006	DNA	905	98				
2006	DNA	699	52				
2006	DNA	720	78				
2006				78	Unrated	Single	Species Tree
2006				98	Unrated	Single	Species Tree
2006				52	Unrated	Single	Species Tree
2008	DNA	844	34				
2008				34	Unrated	Single	Species Tree
2009	Protein	124	17				
2009				17	Unrated	Single	Species Tree
2008	DNA	832	35				
2008	DNA	700	73				
2008	DNA	1272	16				
2008				16	Unrated	Single	Species Tree
2008				73	Unrated	Single	Species Tree
2008				35	Unrated	Single	Species Tree
2003	DNA	433	31				
2003				31	Unrated	Single	Species Tree
2009	DNA	710	56				
2009	DNA	956	56				
2009				56	Unrated	Single	Species Tree
2009				56	Unrated	Single	Species Tree
2010	DNA	1924	70				
2010	DNA	1145	62				
2010	DNA	779	70				
2010				62	Unrated	Single	Species Tree
2010				70	Unrated	Single	Species Tree
2010				70	Unrated	Single	Species Tree
2010	DNA	9173	54				
2010				54	Unrated	Consensus	Species Tree
2009	Standard	1164	70				
2009	Standard	5291	72				
2009				70	Unrated	Single	Species Tree
2009				72	Unrated	Single	Species Tree
2010	DNA	2016	108				
2010				108	Unrated	Single	Species Tree
2010				108	Unrated	Single	Species Tree
2010				108	Unrated	Single	Species Tree
2010				108	Unrated	Single	Species Tree
2009	DNA	816	46				
2009				46	Unrated	Single	Species Tree
2009	DNA	3018	34				
2009	DNA	2294	92				
2009				92	Unrated	Consensus	Species Tree
2009				34	Unrated	Consensus	Species Tree
2010	DNA	1368	29				
2010				29	Unrated	Single	Species Tree
2010				29	Unrated	Consensus	Species Tree
2010				29	Unrated	Consensus	Species Tree
2010				29	Unrated	Single	Species Tree
2009	DNA	2043	112				
2009				112	Unrated	Single	Species Tree
2009	DNA	573	34				
2009				34	Unrated	Consensus	Species Tree
2007	DNA	590	55				
2007	DNA	987	59				
2007	DNA	450	41				
2007				55	Unrated	Consensus	Species Tree
2007				59	Unrated	Single	Species Tree
2007				59	Unrated	Single	Species Tree
2007				41	Unrated	Single	Species Tree
2007				55	Unrated	Single	Species Tree
2007				55	Unrated	Single	Species Tree
2007				59	Unrated	Consensus	Species Tree
2009	DNA	895	65				
2009	DNA	914	36				
2009	DNA	742	29				
2009				29	Unrated	Single	Species Tree
2009				65	Unrated	Single	Species Tree
2009				65	Unrated	Consensus	Species Tree
2009				36	Unrated	Single	Species Tree
2009				29	Unrated	Consensus	Species Tree
2009				29	Unrated	Single	Species Tree
2009				65	Unrated	Single	Species Tree
2009				36	Unrated	Single	Species Tree
2008	DNA	894	62				
2008	DNA	742	27				
2008				27	Unrated	Single	Species Tree
2008				62	Unrated	Single	Species Tree
2008				27	Unrated	Single	Species Tree
2008				27	Unrated	Consensus	Species Tree
2008				62	Unrated	Consensus	Species Tree
2008				62	Unrated	Single	Species Tree
2006	DNA	908	50				
2006				50	Unrated	Single	Species Tree
2006				50	Unrated	Single	Species Tree
2008	DNA	911	68				
2008	DNA	909	73				
2008				73	Unrated	Single	Species Tree
2008				73	Unrated	Single	Species Tree
2008				73	Unrated	Single	Species Tree
2008				68	Unrated	Single	Species Tree
2008				68	Unrated	Single	Species Tree
2009	DNA	2352	166				
2009				166	Unrated	Consensus	Species Tree
2009	DNA	673	29				
2009				29	Unrated	Single	Species Tree
2010	DNA	664	30				
2010				30	Unrated	Single	Species Tree
2010				30	Unrated	Single	Species Tree
2010				30	Unrated	Single	Species Tree
2009	DNA	2271	43				
2009	DNA	398	37				
2009				37	Unrated	Single	Species Tree
2009				43	Unrated	Single	Species Tree
1999	DNA	2613	37				
1999	DNA	2634	37				
1999	DNA	2604	37				
1999	DNA	2607	37				
1999	DNA	2634	37				
1999	DNA	2637	37				
1999	DNA	2610	37				
1999	DNA	2604	37				
1999	Standard	123	37				
1999	DNA	2657	37				
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Consensus	Species Tree
1999				37	Unrated	Consensus	Species Tree
1999				37	Unrated	Consensus	Species Tree
1999				37	Unrated	Consensus	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
2003	DNA	432	8				
2003	DNA	1598	19				
2003	DNA	464	14				
2003	DNA	374	16				
2003				8	Unrated	Consensus	Species Tree
2003				16	Unrated	Consensus	Species Tree
2003				14	Unrated	Consensus	Species Tree
2003				19	Unrated	Consensus	Species Tree
2008	DNA	1270	23				
2008				23	Unrated	Single	Species Tree
2008				23	Unrated	Single	Species Tree
2008				23	Unrated	Consensus	Species Tree
2009	DNA	604	48				
2009	DNA	4016	22				
2009				22	Unrated	Single	Species Tree
2009				48	Unrated	Single	Species Tree
2010	DNA	4973	45				
2010				45	Unrated	Consensus	Species Tree
2010	DNA	3419	50				
2010	DNA	1755	38				
2010	DNA	713	98				
2010				38	Unrated	Single	Species Tree
2010				98	Unrated	Single	Species Tree
2010				50	Unrated	Single	Species Tree
2009	DNA	1312	31				
2009				31	Unrated	Consensus	Species Tree
2009	DNA	1498	37				
2009				37	Unrated	Single	Species Tree
2009	DNA	4098	101				
2009				101	Unrated	Consensus	Species Tree
2009				101	Unrated	Consensus	Species Tree
2009				101	Unrated	Single	Species Tree
2009	DNA	1689	43				
2009				43	Unrated	Single	Species Tree
2009				43	Unrated	Single	Species Tree
2009				43	Unrated	Single	Species Tree
2009	DNA	2814	50				
2009				50	Unrated	Single	Species Tree
2009	Standard	3642	70				
2009				70	Unrated	Single	Species Tree
2009				70	Unrated	Consensus	Species Tree
2003	DNA	887	28				
2003				28	Unrated	Consensus	Species Tree
2009	DNA	1312	375				
2009				375	Unrated	Consensus	Species Tree
2009				375	Unrated	Consensus	Species Tree
2009	DNA	1279	31				
2009				31	Unrated	Consensus	Species Tree
2009	DNA	586	70				
2009	DNA	825	82				
2009				82	Unrated	Single	Species Tree
2009				70	Unrated	Single	Species Tree
2010	DNA	1981	53				
2010	DNA	752	98				
2010				98	Unrated	Single	Species Tree
2010				53	Unrated	Single	Species Tree
2010	DNA	3814	16				
2010				16	Unrated	Single	Species Tree
2009	Standard	105	205				
2009	DNA	8915	205				
2009	Standard	2589	206				
2009	DNA	11335	205				
2009				205	Unrated	Consensus	Species Tree
2009				205	Unrated	Consensus	Species Tree
2009	DNA	4542	57				
2009	DNA	1385	29				
2009	DNA	3029	12				
2009				29	Unrated	Single	Species Tree
2009				12	Unrated	Single	Species Tree
2009				57	Unrated	Single	Species Tree
2009				57	Unrated	Single	Species Tree
2009	DNA	1197	41				
2009	DNA	999	72				
2009				41	Unrated	Consensus	Species Tree
2009				72	Unrated	Consensus	Species Tree
2009	DNA	3881	73				
2009	DNA	3885	73				
2009				73	Unrated	Single	Species Tree
2009				73	Unrated	Single	Species Tree
2008	DNA	518	18				
2008				18	Unrated	Single	Species Tree
2003	DNA	2333	68				
2003				36	Unrated	Single	Species Tree
2003				34	Unrated	Single	Species Tree
2003				36	Unrated	Single	Species Tree
2010	DNA	2511	49				
2010				49	Unrated	Consensus	Species Tree
2010				49	Unrated	Consensus	Species Tree
2010	Standard	406	41				
2010				41	Unrated	Single	Species Tree
2009	DNA	974	52				
2009				52	Unrated	Consensus	Species Tree
2009				52	Unrated	Single	Species Tree
2009	DNA	2150	27				
2009				27	Unrated	Single	Species Tree
2009	DNA	3180	111				
2009				111	Unrated	Consensus	Species Tree
2009	DNA	4381	17				
2009				17	Unrated	Consensus	Species Tree
2010	DNA	5220	66				
2010				66	Unrated	Single	Species Tree
2010	DNA	3495	42				
2010				42	Unrated	Consensus	Species Tree
2008	DNA	690	79				
2008	DNA	605	89				
2008				79	Unrated	Single	Species Tree
2008				89	Unrated	Single	Species Tree
2009	DNA	862	12				
2009	DNA	594	11				
2009	DNA	740	53				
2009	DNA	559	12				
2009				12	Unrated	Single	Species Tree
2009				12	Unrated	Single	Species Tree
2009				11	Unrated	Single	Species Tree
2009				53	Unrated	Single	Species Tree
2003	DNA	1349	26				
2003	DNA	1430	26				
2003				26	Unrated	Single	Species Tree
2003				26	Unrated	Single	Species Tree
2003				26	Unrated	Consensus	Species Tree
2009	DNA	1545	71				
2009				71	Unrated	Consensus	Species Tree
2009	DNA	952	10				
2009				10	Unrated	Single	Species Tree
2010	DNA	4345	69				
2010				69	Unrated	Consensus	Species Tree
2009	DNA	11867	9				
2009				9	Unrated	Single	Species Tree
2010	DNA	945	130				
2010				126	Unrated	Consensus	Species Tree
2009	Standard	2932	120				
2009				120	Unrated	Single	Species Tree
2009	Standard	990	398				
2009				397	Unrated	Consensus	Species Tree
2009	DNA	966	115				
2009	DNA	728	28				
2009				115	Unrated	Single	Species Tree
2009				28	Unrated	Single	Species Tree
2009	Protein	542	25				
2009	Protein	291	32				
2009	Protein	6048	35				
2009	Protein	5216	35				
2009				35	Unrated	Consensus	Species Tree
2009				32	Unrated	Consensus	Species Tree
2009				35	Unrated	Consensus	Species Tree
2009				25	Unrated	Consensus	Species Tree
2010	DNA	9753	52				
2010	DNA	8587	52				
2010	DNA	9625	52				
2010				52	Unrated	Consensus	Species Tree
2010				52	Unrated	Single	Species Tree
2003	DNA	1220	64				
2003				64	Unrated	Single	Species Tree
2003				64	Unrated	Single	Species Tree
2003				64	Unrated	Single	Species Tree
2003				64	Unrated	Single	Species Tree
2003				64	Unrated	Single	Species Tree
2003				64	Unrated	Single	Species Tree
2009	DNA	1162	41				
2009	DNA	484	95				
2009				41	Unrated	Single	Species Tree
2009				95	Unrated	Single	Species Tree
2009	DNA	1820	134				
2009	DNA	1835	134				
2009	DNA	1834	134				
2009	DNA	1839	134				
2009	DNA	1832	134				
2009	DNA	1801	134				
2009	DNA	1827	134				
2009	DNA	1843	134				
2009				134	Unrated	Consensus	Species Tree
2009				134	Unrated	Consensus	Species Tree
2009				134	Unrated	Consensus	Species Tree
2009				134	Unrated	Consensus	Species Tree
2009				134	Unrated	Consensus	Species Tree
2009				134	Unrated	Consensus	Species Tree
2009				134	Unrated	Consensus	Species Tree
2009				134	Unrated	Consensus	Species Tree
2009	DNA	634	124				
2009				124	Unrated	Single	Species Tree
2009	DNA	1738	19				
2009				19	Unrated	Single	Species Tree
2010	DNA	4266	96				
2010	Standard	138	96				
2010				87	Unrated	Consensus	Species Tree
2010	DNA	3372	56				
2010				56	Unrated	Single	Species Tree
2010				56	Unrated	Single	Species Tree
2010				56	Unrated	Consensus	Species Tree
2010	DNA	9657	158				
2010				158	Unrated	Single	Species Tree
2009	DNA	2949	78				
2009				78	Unrated	Consensus	Species Tree
2010	DNA	1939	38				
2010	DNA	1851	30				
2010				30	Unrated	Consensus	Species Tree
2010				38	Unrated	Consensus	Species Tree
2003	DNA	627	28				
2003	Standard	1588	26				
2003				22	Unrated	Single	Species Tree
2003				28	Unrated	Single	Species Tree
2010	DNA	1295	42				
2010	Standard	12	13				
2010	DNA	4807	32				
2010	DNA	7167	13				
2010				42	Unrated	Single	Species Tree
2010				13	Unrated	Single	Species Tree
2010				32	Unrated	Single	Species Tree
2010				13	Unrated	Single	Species Tree
2009	Standard	80	31				
2009				31	Unrated	Single	Species Tree
2009				31	Unrated	Single	Species Tree
2009				31	Unrated	Single	Species Tree
2009				31	Unrated	Single	Species Tree
2009				31	Unrated	Single	Species Tree
2009				31	Unrated	Single	Species Tree
2009	DNA	1078	39				
2009	DNA	1096	65				
2009				39	Unrated	Consensus	Species Tree
2009				65	Unrated	Consensus	Species Tree
2009	DNA	938	34				
2009	DNA	2601	34				
2009	DNA	765	95				
2009				34	Unrated	Consensus	Species Tree
2009				34	Unrated	Single	Species Tree
2009				95	Unrated	Single	Species Tree
2009	Protein	2295	78				
2009	Protein	12428	59				
2009				78	Unrated	Single	Species Tree
2009				59	Unrated	Single	Species Tree
2009	DNA	2919	137				
2009	DNA	1405	41				
2009				41	Unrated	Single	Species Tree
2009				137	Unrated	Consensus	Species Tree
2009				41	Unrated	Single	Species Tree
2009	DNA	1146	42				
2009	DNA	1149	33				
2009				33	Unrated	Single	Species Tree
2009				33	Unrated	Single	Species Tree
2009				33	Unrated	Consensus	Species Tree
2009				42	Unrated	Single	Species Tree
2009				42	Unrated	Single	Species Tree
2005	DNA	1368	52				
2005				52	Unrated	Single	Species Tree
2010	DNA	944	30				
2010	DNA	492	30				
2010	Standard	1065	30				
2010	DNA	944	30				
2010	DNA	453	35				
2010				30	Unrated	Consensus	Species Tree
2010				30	Unrated	Consensus	Species Tree
2010				30	Unrated	Single	Species Tree
2010				35	Unrated	Consensus	Species Tree
2010				30	Unrated	Consensus	Species Tree
2008	DNA	11081	14				
2008	DNA	11774	14				
2008	DNA	10006	14				
2008	DNA	9868	14				
2008				14	Unrated	Single	Species Tree
2008				14	Unrated	Single	Species Tree
2003	Standard	3145	35				
2003				35	Unrated	Consensus	Species Tree
2003				32	Unrated	Consensus	Species Tree
2003				32	Unrated	Single	Species Tree
2009	Standard	547	57				
2009				57	Unrated	Single	Species Tree
2010	DNA	2009	91				
2010	DNA	676	74				
2010	DNA	2569	63				
2010				91	Unrated	Consensus	Species Tree
2010				63	Unrated	Consensus	Species Tree
2010				74	Unrated	Consensus	Species Tree
2010				63	Unrated	Consensus	Species Tree
2010				74	Unrated	Consensus	Species Tree
2010				91	Unrated	Consensus	Species Tree
2009	DNA	803	27				
2009	DNA	2241	55				
2009				55	Unrated	Single	Species Tree
2009				27	Unrated	Single	Species Tree
2009	DNA	993	19				
2009				19	Unrated	Single	Species Tree
2009	DNA	230	15				
2009	DNA	395	15				
2009	DNA	561	15				
2009				15	Unrated	Single	Species Tree
2009				15	Unrated	Single	Species Tree
2009				15	Unrated	Single	Species Tree
2009	Standard	1431	41				
2009	DNA	1416	41				
2009				41	Unrated	Consensus	Species Tree
2009				41	Unrated	Consensus	Species Tree
2009	DNA	5207	135				
2009	DNA	488	149				
2009	DNA	3074	109				
2009	DNA	1645	144				
2009				144	Unrated	Single	Species Tree
2009				135	Unrated	Single	Species Tree
2009				149	Unrated	Single	Species Tree
2009				109	Unrated	Single	Species Tree
2010	DNA	2935	77				
2010	DNA	1402	77				
2010	DNA	1533	77				
2010				77	Unrated	Consensus	Species Tree
2010				77	Unrated	Consensus	Species Tree
2010				77	Unrated	Consensus	Species Tree
2010	DNA	1334	71				
2010	DNA	2002	71				
2010	DNA	668	71				
2010				71	Unrated	Consensus	Species Tree
2010				71	Unrated	Consensus	Species Tree
2010				71	Unrated	Consensus	Species Tree
2009	DNA	501	45				
2009	DNA	821	61				
2009				61	Unrated	Single	Species Tree
2009				45	Unrated	Single	Species Tree
2003	DNA	1067	29				
2003	DNA	1573	30				
2003	DNA	1199	30				
2003				29	Unrated	Consensus	Species Tree
2003				29	Unrated	Consensus	Species Tree
2003				30	Unrated	Consensus	Species Tree
2003				30	Unrated	Consensus	Species Tree
1993	Standard	17	19				
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Consensus	Species Tree
1993				17	Unrated	Single	Species Tree
1993				17	Unrated	Single	Species Tree
2009	DNA	1176	115				
2009	DNA	1723	93				
2009				93	Unrated	Consensus	Species Tree
2009				115	Unrated	Consensus	Species Tree
2009	DNA	1816	102				
2009	DNA	1816	44				
2009				102	Unrated	Single	Species Tree
2009				44	Unrated	Single	Species Tree
2009	DNA	271	46				
2009	DNA	282	55				
2009	DNA	714	70				
2009				70	Unrated	Consensus	Species Tree
2009				55	Unrated	Consensus	Species Tree
2009				46	Unrated	Consensus	Species Tree
2009	DNA	1658	47				
2009				47	Unrated	Consensus	Species Tree
2010	Standard	509	32				
2010	DNA	596	32				
2010	Standard	562	32				
2010	DNA	835	32				
2010	Standard	860	32				
2010	Standard	403	32				
2010	Standard	763	19				
2010				19	Unrated	Single	Species Tree
2010				31	Unrated	Single	Species Tree
2010				31	Unrated	Consensus	Species Tree
2009	DNA	465	99				
2009				99	Unrated	Single	Species Tree
2009	DNA	3320	56				
