prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	621	71				
2010	DNA	893	73				
2010	DNA	906	70				
2010				73	Unrated	Single	Species Tree
2010				73	Unrated	Single	Species Tree
2010				71	Unrated	Single	Species Tree
2010				70	Unrated	Single	Species Tree
2010				70	Unrated	Consensus	Species Tree
2010				73	Unrated	Consensus	Species Tree
2010				70	Unrated	Single	Species Tree
2010				71	Unrated	Consensus	Species Tree
2010				71	Unrated	Single	Species Tree
S10000.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	4062	92				
2009				92	Unrated	Single	Species Tree
S10001.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	803	75				
2009				75	Unrated	Single	Species Tree
S10002.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	1229	33				
2009				33	Unrated	Consensus	Species Tree
S10003.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	Standard	6756	27				
2009				27	Unrated	Consensus	Species Tree
S10004.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2001	DNA	966	90				
2001				90	Unrated	Single	Species Tree
2001				90	Unrated	Single	Species Tree
S10005.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2006	DNA	905	98				
2006	DNA	699	52				
2006	DNA	720	78				
2006				78	Unrated	Single	Species Tree
2006				98	Unrated	Single	Species Tree
2006				52	Unrated	Single	Species Tree
S10006.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2008	DNA	844	34				
2008				34	Unrated	Single	Species Tree
S10007.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	Protein	124	17				
2009				17	Unrated	Single	Species Tree
S10008.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2008	DNA	832	35				
2008	DNA	700	73				
2008	DNA	1272	16				
2008				16	Unrated	Single	Species Tree
2008				73	Unrated	Single	Species Tree
2008				35	Unrated	Single	Species Tree
S10009.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2003	DNA	433	31				
2003				31	Unrated	Single	Species Tree
S1000.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	710	56				
2009	DNA	956	56				
2009				56	Unrated	Single	Species Tree
2009				56	Unrated	Single	Species Tree
S10010.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	1924	70				
2010	DNA	1145	62				
2010	DNA	779	70				
2010				62	Unrated	Single	Species Tree
2010				70	Unrated	Single	Species Tree
2010				70	Unrated	Single	Species Tree
S10011.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	9173	54				
2010				54	Unrated	Consensus	Species Tree
S10012.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	Standard	1164	70				
2009	Standard	5291	72				
2009				70	Unrated	Single	Species Tree
2009				72	Unrated	Single	Species Tree
S10013.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	2016	108				
2010				108	Unrated	Single	Species Tree
2010				108	Unrated	Single	Species Tree
2010				108	Unrated	Single	Species Tree
2010				108	Unrated	Single	Species Tree
S10014.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	816	46				
2009				46	Unrated	Single	Species Tree
S10015.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	3018	34				
2009	DNA	2294	92				
2009				92	Unrated	Consensus	Species Tree
2009				34	Unrated	Consensus	Species Tree
S10016.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	1368	29				
2010				29	Unrated	Single	Species Tree
2010				29	Unrated	Consensus	Species Tree
2010				29	Unrated	Consensus	Species Tree
2010				29	Unrated	Single	Species Tree
S10017.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	2043	112				
2009				112	Unrated	Single	Species Tree
S10018.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	573	34				
2009				34	Unrated	Consensus	Species Tree
S10019.xml
S1001.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2007	DNA	590	55				
2007	DNA	987	59				
2007	DNA	450	41				
2007				55	Unrated	Consensus	Species Tree
2007				59	Unrated	Single	Species Tree
2007				59	Unrated	Single	Species Tree
2007				41	Unrated	Single	Species Tree
2007				55	Unrated	Single	Species Tree
2007				55	Unrated	Single	Species Tree
2007				59	Unrated	Consensus	Species Tree
S10020.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	895	65				
2009	DNA	914	36				
2009	DNA	742	29				
2009				29	Unrated	Single	Species Tree
2009				65	Unrated	Single	Species Tree
2009				65	Unrated	Consensus	Species Tree
2009				36	Unrated	Single	Species Tree
2009				29	Unrated	Consensus	Species Tree
2009				29	Unrated	Single	Species Tree
2009				65	Unrated	Single	Species Tree
2009				36	Unrated	Single	Species Tree
S10021.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2008	DNA	894	62				
2008	DNA	742	27				
2008				27	Unrated	Single	Species Tree
2008				62	Unrated	Single	Species Tree
2008				27	Unrated	Single	Species Tree
2008				27	Unrated	Consensus	Species Tree
2008				62	Unrated	Consensus	Species Tree
2008				62	Unrated	Single	Species Tree
S10022.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2006	DNA	908	50				
2006				50	Unrated	Single	Species Tree
2006				50	Unrated	Single	Species Tree
S10023.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2008	DNA	911	68				
2008	DNA	909	73				
2008				73	Unrated	Single	Species Tree
2008				73	Unrated	Single	Species Tree
2008				73	Unrated	Single	Species Tree
2008				68	Unrated	Single	Species Tree
2008				68	Unrated	Single	Species Tree
S10024.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	2352	166				
2009				166	Unrated	Consensus	Species Tree
S10025.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	673	29				
2009				29	Unrated	Single	Species Tree
S10026.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	664	30				
2010				30	Unrated	Single	Species Tree
2010				30	Unrated	Single	Species Tree
2010				30	Unrated	Single	Species Tree
S10027.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	2271	43				
2009	DNA	398	37				
2009				37	Unrated	Single	Species Tree
2009				43	Unrated	Single	Species Tree
S10028.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
1999	DNA	2613	37				
1999	DNA	2634	37				
1999	DNA	2604	37				
1999	DNA	2607	37				
1999	DNA	2634	37				
1999	DNA	2637	37				
1999	DNA	2610	37				
1999	DNA	2604	37				
1999	Standard	123	37				
1999	DNA	2657	37				
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Consensus	Species Tree
1999				37	Unrated	Consensus	Species Tree
1999				37	Unrated	Consensus	Species Tree
1999				37	Unrated	Consensus	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
1999				37	Unrated	Single	Species Tree
S10029.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2003	DNA	432	8				
2003	DNA	1598	19				
2003	DNA	464	14				
2003	DNA	374	16				
2003				8	Unrated	Consensus	Species Tree
2003				16	Unrated	Consensus	Species Tree
2003				14	Unrated	Consensus	Species Tree
2003				19	Unrated	Consensus	Species Tree
S1002.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2008	DNA	1270	23				
2008				23	Unrated	Single	Species Tree
2008				23	Unrated	Single	Species Tree
2008				23	Unrated	Consensus	Species Tree
S10030.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	604	48				
2009	DNA	4016	22				
2009				22	Unrated	Single	Species Tree
2009				48	Unrated	Single	Species Tree
S10031.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	4973	45				
2010				45	Unrated	Consensus	Species Tree
S10032.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	3419	50				
2010	DNA	1755	38				
2010	DNA	713	98				
2010				38	Unrated	Single	Species Tree
2010				98	Unrated	Single	Species Tree
2010				50	Unrated	Single	Species Tree
S10033.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	1312	31				
2009				31	Unrated	Consensus	Species Tree
S10034.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	1498	37				
2009				37	Unrated	Single	Species Tree
S10035.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	4098	101				
2009				101	Unrated	Consensus	Species Tree
2009				101	Unrated	Consensus	Species Tree
2009				101	Unrated	Single	Species Tree
S10036.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	1689	43				
2009				43	Unrated	Single	Species Tree
2009				43	Unrated	Single	Species Tree
2009				43	Unrated	Single	Species Tree
S10037.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	2814	50				
2009				50	Unrated	Single	Species Tree
S10038.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	Standard	3642	70				
2009				70	Unrated	Single	Species Tree
2009				70	Unrated	Consensus	Species Tree
S10039.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2003	DNA	887	28				
2003				28	Unrated	Consensus	Species Tree
S1003.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	1312	375				
2009				375	Unrated	Consensus	Species Tree
2009				375	Unrated	Consensus	Species Tree
S10040.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	1279	31				
2009				31	Unrated	Consensus	Species Tree
S10041.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2009	DNA	586	70				
2009	DNA	825	82				
2009				82	Unrated	Single	Species Tree
2009				70	Unrated	Single	Species Tree
S10042.xml
prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	1981	53				
2010	DNA	752	98				
2010				98	Unrated	Single	Species Tree
2010				53	Unrated	Single	Species Tree
S10043.xml
